CODIGO PROVINCIA;CODIGO DEPARTAMENTO;CODIGO CIRCUITO   ;CODIGO MESA;AMBITO;CODIGO VOTOS;VOTOS
03;001;0002 ;0015; ;3333;005
03;001;0002 ;0015; ;3221;011
03;001;0002 ;0015; ;3218;045
03;001;0002 ;0015; ;3219;034
03;001;0002 ;0015; ;3111;002
03;001;0002 ;0015; ;3112;003
03;001;0002 ;0015; ;3100;014
03;001;0002 ;0015; ;3332;001
03;001;0002 ;0015; ;3334;004
03;001;0002 ;0016; ;9001;334
03;001;0002 ;0016; ;9002;000
03;001;0002 ;0016; ;9003;000
03;001;0002 ;0016; ;9004;007
03;001;0002 ;0016; ;9005;006
03;001;0002 ;0016; ;9006;000
03;001;0002 ;0016; ;3234;070
03;001;0002 ;0016; ;3333;001
03;001;0002 ;0016; ;3221;005
03;001;0002 ;0016; ;3218;052
03;001;0002 ;0016; ;3219;037
03;001;0002 ;0016; ;3111;001
03;001;0002 ;0016; ;3112;001
03;001;0002 ;0016; ;3100;015
03;001;0002 ;0016; ;3332;002
03;001;0002 ;0016; ;3334;003
03;001;0002 ;0017; ;9001;334
03;001;0002 ;0017; ;9002;203
03;001;0002 ;0017; ;9003;000
03;001;0002 ;0017; ;9004;013
03;001;0002 ;0017; ;9005;006
03;001;0002 ;0017; ;9006;000
03;001;0002 ;0017; ;3234;055
03;001;0002 ;0017; ;3333;006
03;001;0002 ;0017; ;3221;012
03;001;0002 ;0017; ;3218;058
03;001;0002 ;0017; ;3219;033
03;001;0002 ;0017; ;3111;001
03;001;0002 ;0017; ;3112;004
03;001;0002 ;0017; ;3100;012
03;001;0002 ;0017; ;3332;001
03;001;0002 ;0017; ;3334;002
03;001;0002 ;0018; ;9001;334
03;001;0002 ;0018; ;9002;222
03;001;0002 ;0018; ;9003;000
03;001;0002 ;0018; ;9004;000
03;001;0002 ;0018; ;9005;000
03;001;0002 ;0018; ;9006;000
03;001;0002 ;0018; ;3234;079
03;001;0002 ;0018; ;3333;002
03;001;0002 ;0018; ;3221;008
03;001;0002 ;0018; ;3218;057
03;001;0002 ;0018; ;3219;036
03;001;0002 ;0018; ;3111;007
03;001;0002 ;0018; ;3112;007
03;001;0002 ;0018; ;3100;006
03;001;0002 ;0018; ;3332;004
03;001;0002 ;0018; ;3334;005
03;001;0002 ;0019; ;9001;334
03;001;0002 ;0019; ;9002;215
03;001;0002 ;0019; ;9003;000
03;001;0002 ;0019; ;9004;022
03;001;0002 ;0019; ;9005;003
03;001;0002 ;0019; ;9006;000
03;001;0002 ;0019; ;3234;071
03;001;0002 ;0019; ;3333;004
03;001;0002 ;0019; ;3221;007
03;001;0002 ;0019; ;3218;047
03;001;0002 ;0019; ;3219;038
03;001;0002 ;0019; ;3111;003
03;001;0002 ;0019; ;3112;001
03;001;0002 ;0019; ;3100;011
03;001;0002 ;0019; ;3332;004
03;001;0002 ;0019; ;3334;004
03;001;0002 ;0020; ;9001;334
03;001;0002 ;0020; ;9002;000
03;001;0002 ;0020; ;9003;000
03;001;0002 ;0020; ;9004;000
03;001;0002 ;0020; ;9005;000
03;001;0002 ;0020; ;9006;000
03;001;0002 ;0020; ;3234;099
03;001;0002 ;0020; ;3333;011
03;001;0002 ;0020; ;3221;007
03;001;0002 ;0020; ;3218;053
03;001;0002 ;0020; ;3219;028
03;001;0002 ;0020; ;3111;000
03;001;0002 ;0020; ;3112;003
03;001;0002 ;0020; ;3100;012
03;001;0002 ;0020; ;3332;001
03;001;0002 ;0020; ;3334;003
03;001;0002 ;0021; ;9001;335
03;001;0002 ;0021; ;9002;217
03;001;0002 ;0021; ;9003;000
03;001;0002 ;0021; ;9004;000
03;001;0002 ;0021; ;9005;000
03;001;0002 ;0021; ;9006;000
03;001;0002 ;0021; ;3234;083
03;001;0002 ;0021; ;3333;006
03;001;0002 ;0021; ;3221;006
03;001;0002 ;0021; ;3218;067
03;001;0002 ;0021; ;3219;029
03;001;0002 ;0021; ;3111;000
03;001;0002 ;0021; ;3112;001
03;001;0002 ;0021; ;3100;009
03;001;0002 ;0021; ;3332;001
03;001;0002 ;0021; ;3334;000
03;001;0002 ;0022; ;9001;333
