Eleccion,,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017
,,VOTOS_cnt,VOTOS_cnt,VOTOS_cnt,VOTOS_cnt,VOTOS_cnt,VOTOS_cnt,VOTOS_cnt,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_cnt,VOTOS_cnt,VOTOS_cnt,VOTOS_cnt,VOTOS_cnt,VOTOS_cnt,VOTOS_cnt,VOTOS_cnt,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_cnt,VOTOS_cnt,VOTOS_cnt,VOTOS_cnt,VOTOS_cnt,VOTOS_cnt,VOTOS_cnt,VOTOS_cnt,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct
Denominacion,,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,ALIANZA FRENTE PARA LA VICTORIA,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),CAMBIEMOS,ELECTORES,VOTANTES,VOTOS BLANCOS,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,ALIANZA FRENTE PARA LA VICTORIA,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),CAMBIEMOS,ELECTORES,VOTANTES,VOTOS BLANCOS,1PAIS,CAMBIEMOS,ELECTORES,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,FRENTE JUSTICIALISTA,UNIDAD CIUDADANA,VOTANTES,VOTOS BLANCOS,1PAIS,CAMBIEMOS,ELECTORES,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,FRENTE JUSTICIALISTA,UNIDAD CIUDADANA,VOTANTES,VOTOS BLANCOS,1PAIS,CAMBIEMOS,ELECTORES,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,FRENTE JUSTICIALISTA,UNIDAD CIUDADANA,VOTANTES,VOTOS BLANCOS,1PAIS,CAMBIEMOS,ELECTORES,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,FRENTE JUSTICIALISTA,UNIDAD CIUDADANA,VOTANTES,VOTOS BLANCOS
dpto_merger_str,PROV_REF_ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
campana,2,2281.0,17758.0,9843.0,21884.0,71839.0,56455.0,5765.0,0.04040386148259676,0.31455141262952796,0.17435125321052167,0.3876361704012045,1.2725002214152865,1.0,0.1021167301390488,6307.0,27570.0,78797.0,3126.0,2489.0,18155.0,62030.0,4343.0,0.10167660809285829,0.444462356924069,1.2703046912784137,0.05039497017572143,0.04012574560696437,0.29268096082540707,1.0,0.0700145091084959,8220.0,22071.0,78116.0,2320.0,2665.0,16613.0,59182.0,4602.0,0.13889358250819506,0.3729343381433544,1.3199283565949107,0.039201108445135344,0.045030583623399005,0.28071035112027304,1.0,0.07776012976918657
canuelas,2,1221.0,12333.0,6315.0,9655.0,40093.0,32015.0,2154.0,0.03813837263782602,0.38522567546462594,0.19725128845853507,0.3015773856004998,1.252319225363111,1.0,0.06728096204903951,3088.0,14192.0,43591.0,1494.0,1471.0,12940.0,33749.0,994.0,0.09149900737799639,0.42051616344187975,1.291623455509793,0.044267978310468456,0.04358647663634478,0.3834187679634952,1.0,0.029452724525171115,3784.0,10171.0,39074.0,1131.0,1266.0,10415.0,27810.0,1178.0,0.13606616325062926,0.36573175116864437,1.4050341603739662,0.040668824163969795,0.04552319309600863,0.37450557353469976,1.0,0.04235886371808702
capitan sarmiento,2,153.0,2596.0,1579.0,3287.0,11654.0,9141.0,1478.0,0.016737774860518542,0.28399518652226236,0.1727382124494038,0.35958866644787224,1.2749152171534843,1.0,0.16168909309703533,1314.0,5206.0,12534.0,187.0,331.0,2106.0,10069.0,879.0,0.13049955308372232,0.5170324759161784,1.2448108054424472,0.018571854205978747,0.03287317509186612,0.2091568179561029,1.0,0.08729764624093753,1413.0,3828.0,12195.0,122.0,336.0,1939.0,8887.0,570.0,0.15899628671092608,0.4307415325756723,1.3722290986834702,0.01372791718240126,0.037808034207269046,0.21818386407111512,1.0,0.06413862945875999
carlos casares,2,353.0,4801.0,1722.0,5900.0,18383.0,14493.0,1853.0,0.024356585938039053,0.33126336852273514,0.11881598012833781,0.4070930794176499,1.2684054371075693,1.0,0.12785482646795004,1149.0,7536.0,18602.0,370.0,2274.0,2395.0,14239.0,973.0,0.0806938689514713,0.5292506496242714,1.3064119671325234,0.025984970854694853,0.15970222627993538,0.16820001404593019,1.0,0.0683334503827516,1633.0,6275.0,18971.0,277.0,2156.0,2065.0,13388.0,1234.0,0.12197490289811772,0.4687033164027487,1.417015237526143,0.020690170301762772,0.16103973707798028,0.1542426053181954,1.0,0.09217209441290708
carlos tejedor,2,131.0,3223.0,591.0,3793.0,9841.0,8478.0,893.0,0.015451757489974051,0.38016041519226235,0.0697098372257608,0.4473932531257372,1.1607690493040812,1.0,0.10533144609577731,761.0,3579.0,9837.0,167.0,1503.0,1459.0,7759.0,534.0,0.09807964943936075,0.46127078231730895,1.2678180177857972,0.02152339218971517,0.19371052970743652,0.1880396958370924,1.0,0.0688233019719036,1210.0,2511.0,9487.0,84.0,1112.0,1343.0,7318.0,680.0,0.1653457228751025,0.34312653730527465,1.2963924569554524,0.01147854605083356,0.15195408581579667,0.18352008745558895,1.0,0.09292156326865264
carmen de areco,2,127.0,3786.0,1137.0,3623.0,12471.0,9651.0,1628.0,0.013159258107968086,0.39229095430525335,0.11781162573826547,0.3754015127966014,1.2921976997202362,1.0,0.16868718267537042,803.0,4898.0,12336.0,151.0,403.0,2426.0,9980.0,1135.0,0.08046092184368737,0.4907815631262525,1.2360721442885771,0.015130260521042084,0.040380761523046094,0.24308617234468938,1.0,0.11372745490981964,1162.0,3995.0,11994.0,64.0,397.0,2087.0,9316.0,1225.0,0.12473164448261057,0.42883211678832117,1.2874624302275655,0.006869901245169601,0.04261485616144268,0.22402318591670245,1.0,0.1314942035208244
castelli,2,59.0,2308.0,527.0,2191.0,7007.0,5916.0,692.0,0.009972954699121028,0.3901284651791751,0.08908045977011494,0.37035158891142667,1.1844151453684921,1.0,0.1169709263015551,270.0,2693.0,7548.0,101.0,1634.0,723.0,5909.0,650.0,0.04569301066170249,0.455745473007277,1.2773734980538163,0.017092570654933154,0.2765273311897106,0.12235572854967,1.0,0.11000169233372821,458.0,2300.0,7559.0,58.0,1792.0,667.0,5312.0,373.0,0.08621987951807229,0.4329819277108434,1.4230045180722892,0.010918674698795181,0.3373493975903614,0.12556475903614459,1.0,0.0702183734939759
chacabuco,2,698.0,12307.0,4036.0,12757.0,39557.0,32820.0,2252.0,0.021267519804996953,0.3749847653869592,0.12297379646556977,0.38869591712370505,1.2052711761121269,1.0,0.06861669713589275,2551.0,16245.0,41645.0,1022.0,1835.0,9939.0,33280.0,1258.0,0.07665264423076923,0.48813100961538464,1.2513521634615385,0.030709134615384614,0.05513822115384615,0.29864783653846155,1.0,0.03780048076923077,3800.0,13783.0,41328.0,580.0,3215.0,7607.0,31521.0,1429.0,0.12055455093429777,0.43726404619142795,1.3111259160559627,0.01840043145839282,0.10199549506678088,0.24133117604136925,1.0,0.04533485612766092
chascomus,2,726.0,7828.0,5365.0,11159.0,35764.0,29566.0,3913.0,0.024555232361496312,0.26476357978759385,0.1814584319826828,0.3774267739971589,1.2096326861936006,1.0,0.1323479672596902,3390.0,14937.0,37466.0,946.0,813.0,7141.0,28976.0,2357.0,0.11699337382661514,0.5154955825510767,1.2930011043622307,0.03264770844837107,0.028057702926559912,0.24644533406957483,1.0,0.08134318056322473,3571.0,12370.0,35837.0,565.0,1135.0,6065.0,26612.0,2651.0,0.13418758454832405,0.46482789718923795,1.3466481286637606,0.021231023598376673,0.04264993236134075,0.22790470464452126,1.0,0.0996167142642417
chivilcoy,2,1202.0,17275.0,11948.0,11263.0,55421.0,46170.0,3543.0,0.026034221355858783,0.37416071041802035,0.2587827593675547,0.24394628546675332,1.2003682044617716,1.0,0.07673814165042235,5006.0,15523.0,57697.0,994.0,14195.0,8173.0,46145.0,2432.0,0.1084841261241738,0.3363961425939972,1.2503413154187886,0.02154079531910283,0.30761729331455195,0.17711561382598331,1.0,0.052703434825008125,5076.0,12476.0,57217.0,775.0,14750.0,7359.0,43742.0,2351.0,0.11604407663115542,0.28521786841022356,1.3080563303003978,0.017717525490375384,0.337204517397467,0.1682364775273193,1.0,0.05374697087467423
