,,ELECTORES,ELECTORES,ELECTORES,VOTANTES,VOTANTES,VOTANTES,CAMBIEMOS,CAMBIEMOS,CAMBIEMOS,ALIANZA FRENTE PARA LA VICTORIA,UNIDAD CIUDADANA,UNIDAD CIUDADANA,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),1PAIS,1PAIS,VOTOS BLANCOS,VOTOS BLANCOS,VOTOS BLANCOS,FRENTE JUSTICIALISTA,FRENTE JUSTICIALISTA,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES
,,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,paso_2017,DN_2017,paso_2017,DN_2017,DN_2015
dpto_merger_str,PROV_REF_ID,,,,,,,,,,,,,,,,,,,,,,,
canuelas,2,40093,39074,43591,32015,27810,33749,9655,10171,14192,12333,10415,12940,6315,3784,3088,2154,1178,994,1266,1471,1131,1494,1221
nueve de julio,2,39955,40871,40656,32223,30177,31566,14442,14647,17737,9197,6820,7245,4433,4663,3424,2774,1292,1173,1382,1244,567,841,714
balcarce,2,35567,39251,39238,27809,27832,30475,12877,13597,16920,6843,5654,5636,4735,3657,2778,3340,2212,1603,2666,2874,399,728,568
trenque lauquen,2,37007,38112,38458,28044,26972,28323,11537,11236,14522,6876,7011,7413,5034,5021,3471,4413,1709,1427,825,964,398,747,474
chascomus,2,35764,35837,37466,29566,26612,28976,11159,12370,14937,7828,6065,7141,5365,3571,3390,3913,2651,2357,1135,813,565,946,726
bragado,2,34850,36168,36168,28499,27211,27956,12399,11594,13877,9963,8267,8787,2870,2998,1952,2558,1327,1004,2170,1847,432,765,533
lincoln,2,35330,36691,36691,28276,25025,27416,12708,11571,15143,9623,6209,6948,3360,3480,2766,2981,2214,1035,1774,1739,440,777,494
pehuajo,2,33684,33590,34501,27075,24148,25870,8728,9792,12457,9161,7935,9035,5135,3902,2634,3143,1465,1220,695,865,401,642,537
coronel suarez,2,31306,33760,33010,25188,24729,25455,10632,9327,11201,6613,4178,5481,3680,4110,4135,3298,5247,3390,697,685,733,993,582
general alvarado,2,32862,31216,35066,24654,22511,26453,7960,8470,11950,6959,5639,6388,6597,4897,5161,2238,1659,1605,655,856,508,863,716
