,,,ELECTORES,ELECTORES,ELECTORES,VOTANTES,VOTANTES,VOTANTES,CAMBIEMOS,CAMBIEMOS,CAMBIEMOS,ALIANZA FRENTE PARA LA VICTORIA,UNIDAD CIUDADANA,UNIDAD CIUDADANA,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),1PAIS,1PAIS,VOTOS BLANCOS,VOTOS BLANCOS,VOTOS BLANCOS,FRENTE JUSTICIALISTA,FRENTE JUSTICIALISTA,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES
,,,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,paso_2017,DN_2017,paso_2017,DN_2017,DN_2015
dpto_merger_str,circuito,PROV_REF_ID,,,,,,,,,,,,,,,,,,,,,,,
la plata,0501,2,48558,47875,49275,37401,34114,36919,15708,15703,19215,8565,6990,8354,5513,4203,3236,1867,1009,995,2051,1849,1707,2416,2307
vicente lopez,1000,2,49925,47310,49753,36291,33745,35472,15159,15119,18552,7459,6613,7623,6656,4827,3785,1373,836,416,1263,1360,1498,2449,1880
ezeiza,0289,2,44809,46837,47543,36025,33888,36833,10471,10970,14087,12472,11299,12727,7276,5630,4012,2767,1504,1233,1837,1831,1413,2095,1580
moron,0671,2,46975,47320,46952,36186,33830,34875,13268,14244,16537,10434,9566,10413,7210,5220,3706,1732,801,581,1808,1581,1382,2118,1573
tres de febrero,0395,2,45479,46712,49502,34090,31545,35355,11488,11433,15196,11046,9373,11294,7811,5284,3847,1693,966,871,2157,1848,1207,1804,1409
moreno,0663,2,46390,50499,49777,32935,32546,33408,9518,11347,13867,9396,9202,9749,7876,4965,3707,2010,1356,821,2138,1785,1271,2002,1661
lomas de zamora,0590A,2,46589,43583,44633,34543,32447,34569,8161,8566,10920,14752,13396,15371,6942,4885,3511,2538,1355,831,1793,1904,1487,2157,1750
general san martin,0381,2,41988,45376,46762,34085,33119,35219,9816,10193,12978,11717,10881,13164,6771,5399,3964,2562,1422,940,2453,2355,1348,2056,1563
tigre,0535,2,42424,42545,44297,35786,33028,35763,9468,10509,13694,9304,8559,9917,11510,8481,7309,2215,1252,1158,1132,1183,1466,2093,1973
lanus,0274,2,43319,43005,44060,33887,32392,34759,11686,11648,14286,12447,11050,12844,7136,4874,3710,1506,1148,732,1859,1542,1330,2017,1738
vicente lopez,1001,2,43023,43422,44557,33972,32240,34456,18471,18797,21503,5841,5318,5921,4509,3594,2631,1034,569,425,1245,1093,1261,2187,1609
tres arroyos,0964,2,43762,44884,44534,32915,31495,32527,11185,12120,14463,9328,8021,8556,6582,6054,5531,4680,3234,2448,948,851,1019,1236,1123
pilar,0770,2,43968,45580,46368,32501,30773,33584,8008,8103,10413,13014,12427,13071,5021,4127,3387,2924,1895,1613,1639,1529,900,1401,1062
la plata,0502,2,41883,43023,44650,33139,31350,33840,12702,13417,16154,9490,8362,9496,5297,3998,2870,1812,1041,917,2044,1810,1464,2058,2111
quilmes,0785B,2,40557,44124,44674,32034,31048,33395,10726,11135,14129,11371,10922,12477,6310,4417,3151,2031,1119,712,1846,1512,1314,1968,1581
comuna 08,0089,1,46863,45646,47042,35945,24789,30148,12827,13687,14847,11882,9399,10935,7200,0,0,1304,477,350,0,0,1348,2084,1751
la matanza,0631A,2,38425,44223,47031,30985,30421,34268,6228,6454,8666,15485,14238,16864,5915,3567,2721,2152,1262,830,1532,1638,948,1539,1193
marcos paz,0624,2,40487,42067,43445,31715,30582,32613,6582,7509,10252,13046,11344,13636,7878,4592,3912,2889,1650,1394,3528,2295,1026,1448,1046
moron,0673,2,41211,42552,43604,30332,31156,33081,9987,11017,13309,10730,9846,11227,5901,4541,3387,1656,717,590,1691,1499,1325,2087,1437
florencio varela,0302E,2,38623,41809,46766,29197,28818,34236,4859,5886,8820,13685,14046,16504,6721,3937,3360,3367,2014,2128,1542,1947,925,1609,1041
la matanza,0635E,2,36735,41886,41186,30797,31532,32697,3164,3774,5160,18892,19538,21139,4963,3454,2493,2857,1716,1129,1829,1660,860,1258,922
comuna 08,0090,1,45396,44853,45901,32867,25054,30767,11633,12805,13760,11777,9488,10941,6856,0,0,1065,500,328,0,0,1257,1916,1747
quilmes,0785,2,46530,40951,40952,30309,27419,30773,13363,13342,15833,7408,6829,7815,5059,3830,2687,1394,769,476,1402,1185,1427,2083,1664
san pedro,0913,2,38430,39346,40385,29506,27922,30755,13721,13851,17928,7190,5686,7005,4596,4250,2706,4059,2131,2052,1576,1157,615,950,766
la matanza,0626A,2,38873,36488,38942,32095,28548,31508,8654,8941,11417,11753,10466,12137,7343,4290,3424,1692,940,488,1636,1599,1390,2125,1752
hurlingham,0668A,2,37006,38426,39819,28924,28605,31826,6363,7762,10015,12870,12175,14427,7443,4366,3253,2392,1483,895,1834,1735,1183,1768,1274
berazategui,0789,2,44064,37967,45874,30325,24139,30335,6112,5377,8670,12924,10486,13772,5811,3596,3138,2890,1320,1266,1001,1352,1002,1688,1530
lanus,0260,2,42941,44577,44068,26534,26364,27595,9970,10546,12578,7227,6740,7773,5177,3825,2925,985,654,359,1214,985,1130,1716,1466
la matanza,0629B,2,34614,36965,37316,28886,28808,30668,4687,5020,6697,15436,15023,16931,5475,3629,2628,2214,1429,877,1692,1620,1137,1634,1308
san isidro,0893,2,37793,39423,39408,28972,27125,29264,14457,14095,16718,6124,5567,6281,4313,3203,2382,1568,1150,896,847,831,798,1204,953
chacabuco,0189,2,35425,37048,37375,29355,28444,29892,11068,11906,14121,11291,7026,9223,3623,3450,2338,2041,1320,1160,2933,1605,540,961,655
avellaneda,0038,2,35989,38254,37898,28414,28467,29617,9696,9920,11901,10217,10226,11027,5060,3959,2713,1368,771,504,1142,1042,1234,1772,1593
tigre,0536,2,35584,37194,38631,29431,28089,30266,5972,6439,8711,8709,7774,9372,9410,8171,7104,2343,1499,1193,999,1139,1013,1536,1335
la matanza,0635D,2,31884,43392,44796,23363,28679,31664,2540,3674,5159,12805,15840,18250,3529,2844,2162,1988,1478,1014,1611,1619,808,1194,718
