,,,ELECTORES,ELECTORES,ELECTORES,VOTANTES,VOTANTES,VOTANTES,CAMBIEMOS,CAMBIEMOS,CAMBIEMOS,ALIANZA FRENTE PARA LA VICTORIA,UNIDAD CIUDADANA,UNIDAD CIUDADANA,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),1PAIS,1PAIS,VOTOS BLANCOS,VOTOS BLANCOS,VOTOS BLANCOS,FRENTE JUSTICIALISTA,FRENTE JUSTICIALISTA,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES
,,,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,paso_2017,DN_2017,paso_2017,DN_2017,DN_2015
dpto_merger_str,circuito,PROV_REF_ID,,,,,,,,,,,,,,,,,,,,,,,
comuna 02,0028,1,18162,17978,17988,13458,8806,12221,7019,7196,7417,2304,2156,2218,1348,0,0,217,114,76,0,0,463,719,685
comuna 09,0095,1,16826,16991,17336,13199,10724,12646,5228,5942,6299,3351,3239,3493,2658,0,0,375,138,114,0,0,438,740,713
comuna 09,0101,1,17604,17090,17089,13154,10081,12660,5732,6202,6435,3071,2734,2817,2392,0,0,373,134,96,0,0,474,704,783
pinamar,0339,2,25362,12658,12656,17689,7997,9023,7330,3938,4912,4061,1544,1659,2752,1275,916,1969,381,409,439,413,181,312,493
san fernando,0880,2,14476,15492,15842,11930,11920,12771,6346,7151,8296,1610,1495,1675,2460,2149,1547,360,237,255,350,323,433,627,443
berazategui,0789E,2,14879,15735,15386,11426,12428,11570,3316,3721,4704,4379,4447,4655,2821,1933,1410,906,538,433,611,554,623,894,755
comuna 11,0114,1,16749,16943,16945,12678,11059,12066,5354,5869,6006,3025,2894,3066,1989,0,0,307,126,109,0,0,503,794,771
comuna 02,0026,1,17128,16869,16869,12303,10029,10331,9179,9135,9435,1113,980,981,875,0,0,179,86,84,0,0,166,309,287
olavarria,0711E,2,15128,15066,15668,12143,10790,12215,3579,3527,5057,3488,3284,3578,2849,2410,1783,1668,836,453,531,623,351,521,481
general belgrano,0320,2,15012,14784,15472,12443,10539,12097,5106,5206,6466,4336,1969,2132,1501,1078,1043,1294,993,769,1599,1304,197,268,228
comuna 15,0166,1,16371,16333,16335,11889,11296,12492,5223,5592,5774,3191,3103,3193,1933,0,0,275,113,78,0,0,610,864,911
general san martin,0380,2,16108,13609,16400,12284,10113,12438,4453,3864,5630,3416,2532,3554,2802,1858,1594,728,302,291,709,766,442,818,643
la plata,0496D,2,14359,14858,17224,11957,10039,12674,3709,3647,5347,3735,3006,3934,2316,1424,1195,1065,529,557,897,822,468,714,660
comuna 07,0076,1,16046,16250,16251,12345,10512,12927,5296,5883,6181,2883,2822,2894,2004,0,0,245,159,107,0,0,497,793,788
avellaneda,0023,2,16251,16987,16981,11141,11052,11587,4472,4408,5475,2956,3085,3404,1488,1247,870,429,247,168,374,349,432,706,620
comuna 15,0162,1,17112,17081,17082,12511,8836,11367,4631,5026,5195,3558,3322,3500,2153,0,0,359,142,106,0,0,642,996,948
comuna 12,0124,1,16585,16527,16178,12814,9876,10803,5696,5993,6043,3099,3064,3082,2007,0,0,332,112,103,0,0,499,721,816
comuna 08,0088,1,15896,16134,16134,13157,9627,11426,5406,6089,6303,3096,2759,2952,2752,0,0,323,155,118,0,0,431,654,589
comuna 02,0022,1,16573,16282,15937,12287,11333,11542,7502,7521,7653,1651,1503,1449,1059,0,0,168,91,68,0,0,303,509,501
berazategui,0792C,2,14023,14973,14622,11520,11791,11540,2403,2507,3253,5241,5458,5708,2368,1954,1360,1182,813,677,423,424,441,668,580
almirante brown,0022B,2,16180,14593,15643,11325,9779,12329,2202,2197,3258,5479,4747,6109,2238,1625,1159,862,523,316,752,752,425,642,499
comuna 14,0157,1,16332,16383,16386,12449,10434,12190,5226,5458,5632,2988,2797,2986,1452,0,0,251,136,101,0,0,577,903,861
la matanza,0632A,2,21818,15706,17213,11090,9012,10783,2590,2637,3501,3628,3209,3860,2221,1293,1062,599,303,231,490,496,396,642,485
lomas de zamora,0591,2,13961,15672,15736,10678,11029,11857,5255,5912,6690,2435,2364,2646,1635,1400,1040,372,248,173,522,485,548,880,661
campana,0156A,2,12443,15324,15319,10450,11123,12708,3941,4510,5540,3254,3305,3552,1845,1708,1376,948,936,827,611,534,544,758,417
berazategui,0792D,2,14505,14030,14729,10997,10682,11745,2702,2653,3460,5259,5006,5520,2395,1627,1257,1134,658,588,472,545,437,642,574
quilmes,0786A,2,14227,14199,15439,11034,10404,12236,3461,3510,4639,4149,4015,4963,2211,1640,1280,772,428,236,596,554,418,682,518
pergamino,0748B,2,14331,14935,15624,10690,10098,11728,4659,4941,6348,3296,2574,3036,1905,1337,1207,1181,678,437,771,579,291,475,371
la costa,0337B,2,13772,15919,16265,11023,10592,11608,3958,4140,4921,3397,2890,3361,1796,1239,945,905,599,651,339,421,306,479,573
comuna 03,0042,1,16246,15657,16007,11849,10162,10378,4783,5088,5447,3179,2793,3111,1951,0,0,386,120,117,0,0,533,808,882
tres de febrero,0394A,2,14801,14255,14602,11591,10401,11235,6347,6068,7041,2129,1850,2086,1473,1170,851,328,171,150,474,419,511,773,616
san isidro,0887,2,13757,16493,16843,10090,10894,11580,6840,6533,7506,1175,1032,1219,1040,866,632,332,302,226,287,268,310,512,414
comuna 11,0121,1,15491,15465,15467,12737,9465,10765,5779,6207,6477,2379,2219,2341,2109,0,0,331,133,85,0,0,359,554,631
pergamino,0748C,2,14218,14675,15017,10612,9971,11400,3967,4209,5454,3764,3044,3374,2048,1262,1126,1373,804,439,728,537,240,389,293
comuna 01,0006,1,16120,15840,15840,11089,7799,10562,9242,8758,9087,846,633,701,707,0,0,134,76,76,0,0,120,221,209
comuna 05,0060,1,14857,15722,15726,11741,8990,11691,4635,5307,5555,2944,2926,3099,1785,0,0,235,128,92,0,0,566,870,824
la plata,0497,2,14026,14767,15118,10719,10147,10717,5037,4967,6025,2574,2168,2530,1931,1402,1048,562,297,301,558,509,509,757,739
pergamino,0748D,2,13868,12935,15380,10327,9955,11795,4522,4341,6399,3044,2224,2798,2088,1193,1301,1015,576,375,685,611,230,441,436
comuna 05,0061,1,15255,15156,15158,12270,9354,11075,5266,5612,5805,2613,2494,2491,1603,0,0,206,109,77,0,0,490,790,711
campana,0156,2,12870,14465,14111,10074,11154,11140,2931,2767,3775,4152,3964,4256,1881,1479,1106,1408,1140,1139,598,581,348,477,338
necochea,0686A,2,14243,14703,14700,10916,9845,10156,3798,3747,4792,3034,2761,2944,2312,1750,1643,1121,583,688,450,405,200,296,249
comuna 13,0145,1,15341,15328,15332,12127,7822,10487,5845,5993,6263,2361,2316,2332,1340,0,0,178,131,104,0,0,490,784,698
olavarria,0711C,2,13412,13621,14305,10731,10126,11082,3337,3313,4699,2984,2927,3123,2404,2121,1725,1570,708,471,478,486,296,466,435
san fernando,0878A,2,12578,13277,13978,10383,9967,11360,1733,1840,2546,3862,3733,4491,3357,3029,2448,1246,984,992,423,395,299,437,295
quilmes,0787,2,13702,11737,14797,11359,9230,11517,4803,4156,5855,2867,2314,3150,1626,1112,993,528,276,202,378,425,397,717,588
comuna 05,0058,1,14073,14369,14373,11467,9906,10848,4182,4674,4786,2991,2778,2937,1977,0,0,237,159,81,0,0,538,847,719
comuna 07,0082,1,14826,14834,14837,11521,9757,9467,4678,5240,5520,2359,2182,2385,1942,0,0,257,104,69,0,0,407,639,625
comuna 13,0136,1,14819,14656,14660,11347,7813,10685,5979,6160,6351,2033,1855,1932,1290,0,0,200,118,107,0,0,401,623,615
saavedra,0840,2,13279,13947,13936,10332,10256,10471,3827,5064,5568,3027,2220,2427,1492,1409,1244,893,387,349,403,325,193,299,232
benito juarez,0436,2,13393,13683,13665,10699,8925,10429,3505,3402,4605,3873,3384,3421,1504,949,743,1341,1370,1331,147,185,188,322,264
esteban echeverria,0287C,2,12725,12459,14212,10319,9686,10915,1892,1796,2700,5013,4526,5705,1901,1288,1004,1135,691,503,567,551,386,614,448
berazategui,0792A,2,13419,10151,14771,11126,8366,12085,2772,2213,4088,4553,3213,4895,2281,1245,1240,873,356,455,408,561,322,696,512
comuna 13,0141,1,14498,14581,14583,10716,9306,9514,6559,6644,6916,1575,1479,1507,1031,0,0,166,101,95,0,0,246,444,423
olavarria,0711,2,13754,13739,13726,10670,9520,10091,5065,4910,5826,1949,1626,1713,1698,1567,1192,827,401,212,400,398,237,426,426
general viamonte,0404,2,12819,12714,13064,10704,9844,10444,4033,3998,5188,3429,3328,3451,1660,1122,844,1223,514,366,346,297,107,198,140
lanus,0271,2,12383,13059,13059,10198,10443,10428,4130,4328,5081,2765,2706,3111,1913,1547,1122,330,239,180,478,426,430,710,556
comuna 04,0054,1,14431,14470,14821,10586,8311,9497,4526,4714,5032,3111,2690,3009,1654,0,0,292,154,91,0,0,517,793,705
comuna 11,0118,1,14290,14487,14493,11115,8154,9888,5248,5793,5882,2163,2028,2181,1608,0,0,199,119,78,0,0,405,575,596
comuna 11,0123,1,14187,14012,14359,11071,8770,9667,5262,5660,5970,2196,1998,2162,1641,0,0,262,113,78,0,0,334,590,613
rauch,0806,2,11935,12743,13076,9870,9780,10612,4174,4196,5556,3689,3318,3456,622,969,731,1461,758,695,196,212,120,258,213
comuna 11,0122,1,13855,13763,13765,10895,9075,10405,6445,6431,6648,1566,1513,1579,1177,0,0,229,99,83,0,0,247,414,428
comuna 13,0137,1,13810,13945,13947,10821,8676,10509,5526,5941,6067,1927,1752,1809,1192,0,0,193,98,95,0,0,375,611,575
tres de febrero,0389,2,13554,11972,14068,10204,8833,10682,4252,3876,5255,2629,2063,2760,1892,1180,1023,384,192,191,468,469,411,730,627
comuna 04,0050,1,14216,14057,14060,10736,8326,9284,5294,5426,5655,2452,2122,2234,1377,0,0,263,104,85,0,0,410,636,602
comuna 09,0100,1,13424,13896,13897,10631,8602,10467,4546,5115,5460,2420,2239,2445,2157,0,0,262,121,86,0,0,358,566,618
comuna 04,0053,1,14656,14027,14365,10661,8627,9436,3752,3768,4091,3688,2825,3229,1888,0,0,453,124,76,0,0,372,630,595
comuna 05,0065,1,13908,13924,13924,10689,9568,9718,4336,4681,4858,2595,2347,2434,1347,0,0,245,103,82,0,0,502,741,665
comuna 07,0079,1,14613,14313,14315,10895,7704,9048,4642,4900,5098,2322,2096,2205,1808,0,0,288,142,97,0,0,422,608,591
comuna 03,0034,1,14886,14631,13936,10738,8404,8774,4341,4674,4644,2507,2187,2248,1639,0,0,314,120,88,0,0,457,643,674
vicente lopez,0994,2,12938,12707,12704,9683,9348,9853,6206,6244,6814,1404,1212,1347,1018,849,651,267,175,133,399,284,302,552,428
comuna 04,0048,1,14148,14576,14580,9177,7396,9901,4360,4712,4962,2620,2401,2533,1383,0,0,292,123,111,0,0,441,621,708
quilmes,0783A,2,11610,13110,13811,9223,8623,10077,2087,1949,2874,4148,4188,5034,1461,1218,902,1204,818,545,561,486,241,439,302
comuna 06,0072,1,13538,13523,13529,10396,9480,9632,4170,4604,4682,2452,2349,2442,1581,0,0,255,116,83,0,0,473,708,725
comuna 10,0102,1,13193,13241,13243,10301,8968,10473,4699,5197,5372,2168,2055,2183,1834,0,0,223,103,75,0,0,329,500,570
comuna 04,0047,1,13947,14689,14689,10681,6566,8633,2166,2517,2695,5430,3713,4834,1701,0,0,590,196,124,0,0,431,680,419
almirante brown,0021A,2,12135,12168,13222,8824,8929,10214,1728,1593,2379,4283,4344,5270,1913,1465,1131,917,511,318,624,650,340,559,433
moron,0670,2,12609,12018,12011,10113,9550,9771,4758,4939,5613,2079,1895,2099,1499,1189,834,276,130,94,390,362,459,706,521
comuna 07,0077,1,13529,13507,13508,9315,8334,9946,4013,4448,4670,2801,2544,2703,1959,0,0,233,150,98,0,0,454,705,710
loberia,0568,2,12025,12191,12189,9743,9201,9656,4634,4024,4791,3181,2472,2737,870,1268,991,953,577,412,361,295,265,300,150
comuna 05,0059,1,12998,13273,13275,10419,9202,9567,3716,4142,4277,2798,2660,2845,1660,0,0,254,104,87,0,0,478,740,689
comuna 02,0021,1,13530,13582,13586,9825,7439,8933,7549,7459,7781,710,601,640,608,0,0,121,65,50,0,0,130,193,162
comuna 07,0080,1,12989,13143,13144,10681,8694,9444,4624,4960,5148,2149,2083,2088,1587,0,0,163,117,98,0,0,369,599,626
presidente peron,0304B,2,11511,11546,12946,9800,8229,10137,1707,1769,2758,3905,3229,4355,2483,1612,1577,1170,726,713,687,730,275,482,315
comuna 10,0103,1,12929,12845,12842,9970,9912,10041,4377,4791,4897,2192,1996,2169,1846,0,0,238,135,62,0,0,327,484,515
comuna 05,0066,1,13307,13317,13321,10426,7978,9643,4152,4496,4623,2362,2209,2293,1414,0,0,205,87,73,0,0,495,755,673
comuna 02,0024,1,13411,13315,13312,9939,8181,8096,6715,6724,6872,1127,1024,1063,771,0,0,136,88,68,0,0,237,354,363
bahia blanca,0083,2,12368,12199,12199,9602,9099,9364,5284,5614,6284,1418,1159,1239,964,804,570,558,222,170,505,485,414,550,516
comuna 14,0150,1,13260,13240,13243,10142,6337,9186,7809,7469,7746,738,598,598,533,0,0,109,57,54,0,0,98,191,178
comuna 09,0092,1,13234,13274,13625,10024,7574,8427,3915,4447,4714,2545,2359,2537,2081,0,0,250,142,94,0,0,432,650,618
la plata,0496C,2,11503,12304,12653,8711,8236,9942,2971,3179,4126,3030,2732,3191,1760,1256,959,747,418,367,594,596,385,590,476
avellaneda,0033,2,11998,11869,11864,8634,9101,9607,4016,3863,4647,2489,2419,2753,1772,1440,1019,362,201,138,356,332,437,664,609
comuna 15,0167,1,12167,12977,12977,9822,8549,9507,4397,4929,5055,2142,2110,2166,1402,0,0,182,117,70,0,0,432,663,569
daireaux,0179,2,11397,11670,11664,9285,8878,9507,4190,3812,4586,3479,2630,3025,741,1025,679,1226,786,747,255,251,73,120,93
comuna 02,0025,1,12989,12931,12938,9490,8146,8683,6694,6733,6997,870,749,783,663,0,0,124,65,82,0,0,176,291,257
comuna 03,0039,1,13622,13351,13359,9661,7108,9211,3983,4097,4487,2496,2201,2322,1558,0,0,260,89,82,0,0,419,673,654
capitan sarmiento,0121,2,11368,11911,12252,8901,8669,9839,3216,3745,5096,2508,1881,2031,1543,1379,1294,1440,554,866,328,327,120,181,152
comuna 11,0113,1,12859,12855,12857,9342,8217,9390,4142,4477,4679,2374,2174,2237,1800,0,0,182,122,70,0,0,417,604,587
carmen de areco,0175,2,11672,11200,11545,9290,8757,9371,3407,3776,4619,3556,1955,2249,1053,1094,760,1531,1141,1103,370,365,60,141,123
lomas de zamora,0593A,2,11342,11538,11538,9205,8542,9507,3358,3659,4341,2711,2532,2824,1851,1423,1037,529,272,141,436,431,496,676,556
coronel de marina l. rosales,0248C,2,11732,12327,12328,8431,8557,8821,3908,4091,5229,1824,1318,1477,1760,1565,1141,960,798,672,307,458,195,278,360
navarro,0675,2,10119,11418,11763,8517,9354,9492,3385,4137,4711,3418,2727,3083,1002,847,629,736,564,495,652,584,98,169,95
la costa,0337,2,11784,11796,12144,9236,8084,9017,3598,3400,4117,2944,2394,2849,1304,888,769,746,498,416,278,343,169,293,299
ramallo,0797,2,11286,11434,11783,9002,8176,8913,2575,2606,3588,3479,1998,2957,1527,2387,1648,1177,785,557,222,278,199,354,193
lomas de zamora,0588,2,11093,11670,11670,9236,7898,9190,4036,4175,4758,2108,1965,2162,1400,1229,877,318,155,121,402,351,461,727,650
comuna 03,0035,1,13030,12917,12919,8809,7803,8138,3727,4069,4270,2443,2302,2400,1571,0,0,252,103,59,0,0,457,655,682
la matanza,0632,2,11587,12174,11824,8403,8710,8868,2707,3179,3709,2745,2761,2856,1824,1339,940,400,197,129,465,396,398,547,434
comuna 02,0027,1,13119,12880,12886,9741,6860,7587,5710,5582,5846,1367,1230,1271,885,0,0,153,99,70,0,0,294,444,470
bahia blanca,0072,2,17809,10296,10646,9250,7098,8055,4033,3959,4936,1413,1118,1250,1014,770,608,630,324,209,477,507,305,468,443
comuna 07,0081,1,12338,12143,12492,9829,7141,8373,4316,4538,4864,2007,1911,2020,1418,0,0,193,85,84,0,0,368,583,552
ensenada,0490,2,11362,10799,11785,9344,7684,8848,2538,2463,3450,3164,2718,3371,1906,1188,862,917,442,303,335,370,335,467,494
san nicolas,0901A,2,11356,11132,11475,8422,8310,8356,1744,2323,3126,3592,3012,3434,2008,1371,1187,1136,552,587,483,449,211,337,430
comuna 11,0115,1,12326,12343,12340,8838,8230,8265,3752,4081,4189,2351,2209,2279,1593,0,0,243,116,83,0,0,426,675,651
comuna 10,0104,1,12255,12289,12289,9182,7311,8798,3903,4301,4441,2177,2054,2162,1935,0,0,205,112,80,0,0,329,535,591
general las heras,0547,2,10383,10760,11455,8079,8505,9688,2350,2553,3640,2817,2507,2787,2143,2188,2094,683,415,374,362,343,169,273,160
comuna 04,0049,1,12405,12297,12298,8994,7514,7855,3793,3938,4091,2812,2309,2577,1537,0,0,279,102,88,0,0,409,616,563
comuna 15,0163,1,12396,12359,12365,9523,7481,7592,3369,3554,3740,2765,2512,2698,1370,0,0,309,106,74,0,0,461,715,682
comuna 03,0038,1,12829,12786,12792,9134,6464,7375,3811,4091,4197,2526,2207,2258,1474,0,0,237,100,63,0,0,414,654,611
comuna 10,0108,1,11965,12075,12077,8660,7369,9113,3774,4245,4402,2180,2038,2208,1735,0,0,228,121,79,0,0,408,591,615
comuna 03,0031,1,13130,12677,12682,9213,7071,7482,4258,4289,4565,1941,1610,1743,1214,0,0,219,90,83,0,0,358,524,516
la plata,0508A,2,11964,8483,13033,9487,6021,10173,3249,2480,4808,2399,1362,2549,1777,815,980,635,333,322,373,545,265,565,504
campana,0156B,2,10403,10852,11200,8000,8611,8492,2416,2308,3275,3113,2938,3225,1618,1255,970,1196,778,796,359,371,260,334,328
comuna 04,0043,1,11942,12175,12177,8722,7200,8202,3636,3966,4210,2496,2271,2475,1486,0,0,182,124,67,0,0,432,620,671
bahia blanca,0084,2,11058,11150,11150,8681,8166,8328,4540,4954,5528,1396,1128,1203,927,771,568,470,275,160,493,505,430,564,535
comuna 02,0029,1,12115,12019,12020,9204,7250,8350,4796,4931,5084,1557,1428,1439,951,0,0,172,102,84,0,0,292,492,419
comuna 09,0097,1,12409,12203,11858,8362,5673,8496,3335,3826,3949,3024,2682,2748,2050,0,0,315,118,77,0,0,327,516,481
comuna 09,0096,1,11476,11923,11920,8762,7142,8851,3307,3813,4020,2455,2297,2536,1960,0,0,243,113,92,0,0,320,503,488
comuna 01,0013,1,12667,12493,12496,8451,5879,7975,3740,3942,4167,2408,2123,2246,1404,0,0,253,122,59,0,0,401,606,645
comuna 15,0159,1,12105,12184,12183,8867,6820,8196,3555,3864,3908,2270,2242,2224,1326,0,0,227,96,71,0,0,403,673,564
comuna 13,0146,1,11732,11692,11691,9390,7399,8270,4053,4233,4342,1995,1918,1898,1095,0,0,173,88,80,0,0,384,653,557
rivadavia,0815,2,10021,10796,10796,8484,8135,8587,4330,3374,4258,837,1256,1334,2030,2076,1800,1054,723,604,382,376,80,122,77
comuna 10,0111,1,12119,11914,11916,8794,7017,8214,3711,3993,4097,2055,1888,2039,1618,0,0,210,108,79,0,0,378,553,519
comuna 13,0135,1,11382,11369,11713,8974,7200,8452,5000,5115,5345,1385,1259,1318,957,0,0,138,89,60,0,0,279,474,409
comuna 01,0011,1,12645,12354,12366,8310,6739,7865,3687,3824,4022,2206,1862,1966,1149,0,0,220,115,88,0,0,319,535,508
coronel dorrego,0232,2,10506,10681,10681,8443,7631,8114,3840,3565,4268,2275,1855,1957,719,1155,879,1509,686,544,431,456,126,195,147
comuna 04,0052,1,11885,11798,11791,8371,7172,7921,3198,3218,3396,2982,2409,2760,1517,0,0,330,143,70,0,0,401,582,520
vicente lopez,0997,2,10683,10211,10911,8538,7794,8528,4694,4588,5284,1405,1272,1494,916,697,615,220,151,132,245,256,359,678,475
la plata,0496A,2,10030,10990,11341,7845,7043,8727,1831,2012,2775,3521,2904,3644,1564,1038,862,745,579,418,573,563,348,413,335
lomas de zamora,0585,2,10007,10775,10776,8092,7527,8616,3830,4148,4718,1779,1686,1876,1292,995,746,239,172,116,349,323,455,643,561
comuna 15,0164,1,11441,11913,11914,8400,7102,8240,3315,3680,3819,2222,2109,2225,1181,0,0,212,113,90,0,0,462,690,568
comuna 01,0017,1,12155,12072,12082,8590,6395,6963,3317,3638,3745,2528,2294,2386,1388,0,0,256,102,79,0,0,386,635,587
magdalena,0606,2,9446,10692,10685,7768,8249,8509,2785,3206,4201,1698,1935,1959,1916,1416,1188,829,556,402,402,372,166,266,204
comuna 10,0106,1,11305,11083,11428,8447,7118,8298,3614,3959,4192,2067,1793,1962,1595,0,0,250,103,73,0,0,310,475,498
pilar,0770A,2,9208,10815,10815,7698,7916,8216,3635,3853,4565,2105,2246,2375,937,885,660,505,339,265,356,282,172,277,204
comuna 01,0010,1,12092,11793,11796,7929,5908,7324,4401,4483,4785,1613,1447,1516,1012,0,0,196,85,70,0,0,251,380,381
la plata,0497E,2,9488,11503,11849,7407,7601,7892,2417,2308,3253,2406,1994,2503,1569,1038,832,679,315,386,485,451,298,386,373
coronel de marina l. rosales,0248E,2,10080,9959,10660,7868,6907,8446,3970,4098,5364,1218,847,952,1525,1238,913,921,674,515,296,326,192,264,186
avellaneda,0024,2,9818,10418,10413,7710,7577,8086,3155,3185,3933,2235,2422,2652,1088,1025,753,330,203,158,361,276,333,520,465
comuna 07,0084,1,10987,11246,10909,8896,7665,6781,3420,3901,3934,2001,1877,1957,1536,0,0,162,94,68,0,0,387,546,589
comuna 03,0030,1,11587,11473,11476,8326,6373,7467,3748,3854,4126,1758,1570,1685,1136,0,0,220,82,66,0,0,307,445,486
avellaneda,0025,2,10411,8412,11327,8134,6154,8564,2318,1776,2991,3451,2740,4071,1465,871,805,486,193,152,238,291,225,463,383
comuna 09,0099,1,11017,11028,11029,8629,5288,6761,3831,4364,4587,1951,1754,1834,1792,0,0,235,116,85,0,0,299,428,442
comuna 01,0012,1,11604,11231,11235,7661,6589,7411,3444,3581,3803,2099,1775,1883,1222,0,0,221,103,64,0,0,328,498,513
ramallo,0798,2,9267,9958,9959,7724,7253,7134,2864,3233,4193,2325,1688,2023,1330,1800,1072,908,728,452,181,224,231,303,211
comuna 03,0037,1,11195,10818,11171,8214,6293,7262,3166,3393,3733,2185,1900,2115,1397,0,0,254,82,77,0,0,347,557,573
lanus,0259,2,9652,9710,9711,7770,7572,7419,2817,2917,3538,2204,2263,2524,1598,1202,887,365,255,114,388,320,371,540,467
comuna 09,0094,1,10984,10602,10947,8568,5819,7544,3145,3248,3579,2282,2051,2255,1649,0,0,210,104,70,0,0,374,575,578
comuna 03,0032,1,11582,11293,10955,7902,6425,6996,3715,3883,3752,1858,1655,1615,1005,0,0,188,82,67,0,0,317,511,462
exaltacion de la cruz,0292,2,9779,10055,10407,7245,7438,7985,2370,2561,3455,2121,1499,1705,1602,1114,738,724,1081,994,217,257,113,232,170
la plata,0497D,2,10029,9399,9747,8145,6804,7791,2783,2783,3605,2055,1677,2141,1650,978,778,631,330,302,459,450,366,427,410
la plata,0496B,2,9315,10399,10399,7446,6257,7302,2353,2464,3029,2638,2264,2723,1398,1073,810,682,445,365,601,507,313,439,378
comuna 07,0078,1,10427,10796,10798,7788,5316,7880,3192,3591,3750,2116,1986,2140,1441,0,0,189,106,88,0,0,298,480,471
comuna 05,0062,1,9755,10153,10155,7885,7612,7739,2965,3460,3544,1977,1884,1997,1198,0,0,179,78,58,0,0,358,556,548
berazategui,0790A,2,9247,9508,9508,6329,7694,7519,1547,1978,2535,2934,3117,3300,1667,1194,856,644,357,303,324,336,316,419,338
comuna 01,0009,1,11465,11364,11366,6713,5746,6647,4070,4090,4326,1451,1182,1271,931,0,0,182,57,53,0,0,190,308,332
bahia blanca,0091,2,8435,9644,11045,6191,7057,7687,1672,2026,3094,2117,2140,2527,1376,952,837,1018,460,599,654,921,313,442,430
comuna 01,0019,1,11126,10904,11251,7265,4747,6519,2980,3062,3313,2575,2071,2378,1369,0,0,251,92,66,0,0,375,560,478
comuna 07,0075,1,9879,10269,10269,6900,7136,7941,3281,3768,3825,1750,1706,1759,1171,0,0,169,92,70,0,0,320,497,451
comuna 10,0110,1,10265,10180,10179,7783,5879,7521,3165,3343,3495,2075,2005,2065,1308,0,0,172,74,72,0,0,311,487,520
exaltacion de la cruz,0293,2,7694,10025,10025,5542,7889,8138,2028,2816,3447,2128,2157,2419,1245,1178,825,502,778,831,215,288,159,283,148
comuna 14,0156,1,10510,10367,10024,8022,6594,6947,3285,3417,3420,1861,1739,1739,979,0,0,136,97,59,0,0,367,543,548
la plata,0497C,2,8663,10299,10298,6903,7188,7061,1942,2091,2561,2324,2035,2309,1387,1017,785,669,353,331,453,400,309,414,316
san nicolas,0905,2,8688,9367,9713,6506,6500,7783,1007,1430,1980,3516,3168,3618,1500,1054,832,935,558,519,391,401,145,244,185
zarate,1021,2,8647,9030,9378,7299,6709,7351,1195,1636,2181,3852,3675,3719,1044,789,735,910,476,514,212,293,105,168,119
comuna 04,0051,1,10218,9814,10154,7819,5569,6787,3959,3878,4165,1753,1549,1712,1139,0,0,182,75,60,0,0,280,448,456
la costa,0337D,2,9227,9511,9861,6731,6589,7294,2835,2809,3564,2215,1861,2072,1277,839,696,468,277,248,311,319,176,309,253
la plata,0520,2,8477,7895,14336,6273,5706,8579,2823,2259,3575,1677,1233,1873,922,543,529,310,130,184,295,344,348,614,631
bahia blanca,0092,2,9294,9396,9747,6818,6649,7260,2027,2300,2880,2116,1939,2089,1440,869,714,862,470,301,626,683,256,429,362
tres de febrero,0392,2,9181,8796,10056,6679,6664,7475,2067,2109,2938,2513,2054,2743,1525,1013,885,388,235,195,428,389,263,469,417
maipu,0615,2,8855,9235,9225,6503,6714,7455,3609,3150,3726,1675,1489,1599,934,1549,1398,829,400,430,102,109,80,160,157
comuna 01,0001,1,10299,10517,10515,7215,6080,6406,2733,3021,3196,2219,2073,2144,1022,0,0,214,86,72,0,0,385,580,562
roque perez,0832,2,8350,9437,9079,6687,7211,7339,2312,3316,3532,2223,1900,1979,1260,1361,1059,834,407,328,202,202,63,138,110
laprida,0524,2,8834,9057,9048,7336,6573,7305,2779,2599,3111,3007,2510,2979,476,529,529,627,371,319,186,144,247,155,126
zarate,1018,2,8689,8782,8776,7424,6828,7006,1741,2177,2695,2608,2570,2661,1783,1177,956,779,358,314,291,290,219,322,271
olavarria,0711B,2,9055,8760,9068,7052,6643,6690,2462,2260,3094,1902,1727,1878,1493,1278,1104,1026,447,236,267,321,180,262,253
adolfo alsina,0001,2,8376,8986,9322,6714,6746,7181,2997,3174,3713,1798,1451,1546,698,717,709,900,520,517,511,466,78,158,82
villarino,1011,2,9449,10066,10066,6705,6964,6739,1945,2037,2536,1391,721,709,1432,757,995,751,953,605,609,614,114,134,103
la plata,0508D,2,7786,10609,10422,5714,7103,6136,1631,1919,2537,2255,1973,2275,1275,872,640,564,412,283,507,500,236,279,191
la plata,0508,2,8510,7740,9486,7126,5908,7132,2117,1859,3064,2395,1661,2312,1416,800,732,600,329,311,475,468,271,434,352
mar chiquita,0622A,2,8273,9170,9169,6480,6437,6562,1956,2232,2798,2332,2122,2390,1076,1087,700,354,229,227,320,303,195,358,219
adolfo gonzales chaves,0424,2,8488,8600,8600,7157,5983,6554,1902,1994,2632,2653,1641,2009,838,907,662,1330,1202,1023,178,209,104,181,111
