,,ELECTORES,ELECTORES,ELECTORES,VOTANTES,VOTANTES,VOTANTES,CAMBIEMOS,CAMBIEMOS,CAMBIEMOS,ALIANZA FRENTE PARA LA VICTORIA,UNIDAD CIUDADANA,UNIDAD CIUDADANA,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),1PAIS,1PAIS,VOTOS BLANCOS,VOTOS BLANCOS,VOTOS BLANCOS,FRENTE JUSTICIALISTA,FRENTE JUSTICIALISTA,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES
,,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,paso_2017,DN_2017,paso_2017,DN_2017,DN_2015
dpto_merger_str,PROV_REF_ID,,,,,,,,,,,,,,,,,,,,,,,
comuna 05,1,127.97,152.74,135.93,100.0,100.0,100.0,39.64,51.24999999999999,47.33,24.0,26.88,24.92,14.41,,,2.12,1.24,0.7799999999999999,,,5.46,7.4399999999999995,6.58
comuna 06,1,125.6,152.55,133.61,100.0,100.0,100.0,44.68,58.64,52.65,19.89,23.330000000000002,20.68,13.25,,,1.81,1.26,0.77,,,4.63,6.35,5.800000000000001
comuna 07,1,131.61,160.57,140.65,100.0,100.0,100.0,41.3,54.89000000000001,50.1,24.45,26.77,25.259999999999998,16.919999999999998,,,2.36,1.4500000000000002,0.9400000000000001,,,4.82,6.47,5.84
comuna 08,1,132.51999999999998,183.39000000000001,154.29,100.0,100.0,100.0,34.949999999999996,53.059999999999995,46.92,34.449999999999996,38.66,36.84,20.36,,,3.45,1.96,1.1199999999999999,,,5.38,6.77,4.95
comuna 09,1,132.42000000000002,174.65,144.34,100.0,100.0,100.0,40.160000000000004,59.29,51.190000000000005,27.05,32.22,28.65,21.09,,,2.94,1.6500000000000001,0.96,,,4.859999999999999,6.2,5.66
comuna 10,1,132.89,161.25,137.37,100.0,100.0,100.0,43.08,57.49999999999999,50.5,23.66,26.76,24.14,18.55,,,2.4299999999999997,1.5,0.88,,,4.78,6.18,6.3100000000000005
comuna 11,1,130.57000000000002,157.98000000000002,141.44,100.0,100.0,100.0,46.42,60.199999999999996,55.559999999999995,21.48,24.240000000000002,22.66,15.879999999999999,,,2.1999999999999997,1.3,0.8500000000000001,,,4.36,6.03,5.609999999999999
comuna 12,1,126.01,159.7,141.23000000000002,100.0,100.0,100.0,47.13,61.77,57.17,20.59,24.26,22.36,13.719999999999999,,,2.1,1.37,0.83,,,4.63,6.260000000000001,5.65
comuna 13,1,131.47,169.52,142.54,100.0,100.0,100.0,58.18,76.66,66.51,14.92,18.13,15.42,9.81,,,1.5699999999999998,1.29,0.88,,,3.83,5.26,4.46
comuna 14,1,133.72,168.85,149.04999999999998,100.0,100.0,100.0,58.10999999999999,74.25,67.78,15.939999999999998,18.47,16.580000000000002,9.33,,,1.6500000000000001,1.21,0.8,,,3.56,5.19,4.38
comuna 15,1,136.71,166.24,146.01,100.0,100.0,100.0,41.75,54.14,49.26,25.44,29.409999999999997,26.650000000000002,14.77,,,2.31,1.41,0.89,,,5.84,7.969999999999999,6.819999999999999
coronel de marina l. rosales,2,134.26,143.9,136.5,100.0,100.0,100.0,49.230000000000004,52.78,61.970000000000006,18.69,14.01,14.6,18.240000000000002,16.900000000000002,11.64,10.33,8.44,6.1,4.109999999999999,4.61,2.41,3.34,3.1
coronel dorrego,2,124.22,138.2,130.82,100.0,100.0,100.0,45.39,46.760000000000005,52.7,26.46,24.4,24.38,8.99,14.57,10.59,16.85,8.38,6.419999999999999,5.55,5.27,1.51,2.25,1.6
coronel pringles,2,131.92999999999998,138.83,131.01,100.0,100.0,100.0,41.55,47.13,51.83,28.349999999999998,26.69,24.59,11.43,9.32,7.9399999999999995,17.89,9.85,8.459999999999999,3.06,2.87,3.2099999999999995,3.32,2.23
coronel suarez,2,124.28999999999999,136.52,129.68,100.0,100.0,100.0,42.21,37.72,44.0,26.25,16.900000000000002,21.529999999999998,14.610000000000001,16.619999999999997,16.24,13.089999999999998,21.22,13.320000000000002,2.82,2.69,2.96,3.9,2.31
daireaux,2,121.22,131.28,122.54,100.0,100.0,100.0,45.15,43.96,49.57,36.6,29.15,31.31,8.53,11.58,6.94,12.44,8.200000000000001,7.449999999999999,3.01,2.5700000000000003,0.8200000000000001,1.24,0.89
dolores,2,127.46,132.4,131.05,100.0,100.0,100.0,43.519999999999996,46.300000000000004,56.730000000000004,24.95,21.2,23.57,19.12,13.86,9.55,13.44,5.13,4.4799999999999995,5.64,4.67,1.48,2.46,1.41
ensenada,2,125.73,135.05,127.33000000000001,100.0,100.0,100.0,24.4,27.49,33.64,37.55,41.660000000000004,44.28,18.32,13.489999999999998,8.75,10.33,5.27,3.65,3.55,3.6799999999999997,5.28,5.88,6.39
escobar,2,127.2,139.07,133.26,100.0,100.0,100.0,29.49,31.28,37.18,34.47,33.11,37.74,20.48,17.01,11.44,8.92,5.4,5.46,4.41,3.9800000000000004,3.6700000000000004,4.71,4.44
esteban echeverria,2,130.10999999999999,142.79999999999998,134.89,100.0,100.0,100.0,27.560000000000002,29.189999999999998,34.589999999999996,38.5,38.1,40.61,18.759999999999998,14.719999999999999,9.59,7.46,5.42,3.4299999999999997,5.25,4.55,4.0,5.72,4.45
exaltacion de la cruz,2,133.89,131.53,126.72000000000001,100.0,100.0,100.0,36.13,36.43,44.13,32.84,24.47,26.009999999999998,21.2,14.32,9.39,9.21,11.52,10.51,2.98,3.39,1.91,3.3099999999999996,2.6100000000000003
ezeiza,2,130.33999999999997,142.56,131.58,100.0,100.0,100.0,24.610000000000003,26.27,31.71,41.510000000000005,39.290000000000006,40.75,20.31,16.21,10.77,9.89,5.949999999999999,4.1000000000000005,5.4399999999999995,5.2,4.02,5.59,4.4799999999999995
florencio varela,2,131.24,139.66,134.14,100.0,100.0,100.0,18.65,22.96,27.750000000000004,46.48,46.43,46.94,21.29,12.24,9.01,9.85,5.81,4.92,5.48,5.75,3.29,4.93,4.07
florentino ameghino,2,113.14999999999999,128.68,118.47000000000001,100.0,100.0,100.0,43.5,43.01,49.84,43.28,6.4799999999999995,10.209999999999999,6.83,15.920000000000002,11.709999999999999,3.32,3.1300000000000003,2.32,28.38,23.0,1.72,2.0,1.39
general alvarado,2,133.29,138.67000000000002,132.56,100.0,100.0,100.0,32.29,37.63,45.17,28.23,25.05,24.15,26.76,21.75,19.509999999999998,9.08,7.37,6.069999999999999,2.91,3.2399999999999998,2.26,3.26,2.9000000000000004
general alvear,2,116.91,132.09,126.03999999999999,100.0,100.0,100.0,42.25,45.36,53.37,28.249999999999996,16.32,20.05,7.049999999999999,11.110000000000001,9.44,16.42,9.85,7.24,13.51,7.6,0.75,1.6099999999999999,0.9199999999999999
general arenales,2,119.78,130.92999999999998,130.37,100.0,100.0,100.0,48.57,51.629999999999995,59.88,34.589999999999996,28.74,27.87,8.559999999999999,9.629999999999999,8.12,7.71,4.6899999999999995,3.7199999999999998,1.79,3.18,0.98,1.71,1.17
general belgrano,2,120.58,140.29,127.91,100.0,100.0,100.0,41.13,49.36,53.510000000000005,34.96,18.62,17.72,11.93,10.16,8.53,10.280000000000001,9.27,6.239999999999999,15.329999999999998,10.86,1.82,2.18,1.7999999999999998
general guido,2,135.37,128.24,121.81,100.0,100.0,100.0,52.78,58.160000000000004,56.230000000000004,27.49,14.96,18.529999999999998,15.15,5.319999999999999,5.220000000000001,17.19,10.47,6.909999999999999,7.03,9.24,1.2,2.33,1.71
general juan madariaga,2,128.44,141.51,143.77,100.0,100.0,100.0,38.34,42.07,56.85,32.37,21.709999999999997,26.200000000000003,18.08,12.709999999999999,9.1,10.39,5.56,4.55,9.6,7.140000000000001,2.7,3.73,3.04
