,,,ELECTORES,ELECTORES,ELECTORES,VOTANTES,VOTANTES,VOTANTES,CAMBIEMOS,CAMBIEMOS,CAMBIEMOS,ALIANZA FRENTE PARA LA VICTORIA,UNIDAD CIUDADANA,UNIDAD CIUDADANA,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),1PAIS,1PAIS,VOTOS BLANCOS,VOTOS BLANCOS,VOTOS BLANCOS,FRENTE JUSTICIALISTA,FRENTE JUSTICIALISTA,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES
,,,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,paso_2017,DN_2017,paso_2017,DN_2017,DN_2015
dpto_merger_str,circuito,PROV_REF_ID,,,,,,,,,,,,,,,,,,,,,,,
azul,0060,2,133.51,137.87,134.1,100.0,100.0,100.0,30.769999999999996,43.08,50.03999999999999,28.96,23.73,26.33,13.94,14.71,10.71,13.65,7.26,5.949999999999999,3.9899999999999998,3.8699999999999997,2.44,3.91,2.8000000000000003
azul,0061,2,143.4,185.0,160.87,100.0,100.0,100.0,35.85,62.5,71.74000000000001,15.09,15.0,15.22,11.32,15.0,8.7,0.0,5.0,0.0,0.0,0.0,0.0,4.35,1.8900000000000001
azul,0062,2,166.93,153.83,132.09,100.0,100.0,100.0,33.72,57.220000000000006,58.45,21.2,21.68,20.13,11.219999999999999,18.29,11.74,9.78,6.3100000000000005,4.390000000000001,3.6999999999999997,3.2300000000000004,1.9300000000000002,2.02,1.5
azul,0062A,2,120.0,173.33,143.66,100.0,100.0,100.0,29.330000000000002,33.33,50.7,28.000000000000004,38.33,32.39,12.0,18.33,7.04,5.33,3.3300000000000005,2.82,0.0,2.82,3.3300000000000005,1.41,0.0
azul,0062B,2,inf,166.07,138.46,,100.0,100.0,inf,67.86,66.14999999999999,inf,0.0,15.379999999999999,inf,14.29,7.6899999999999995,inf,7.140000000000001,0.0,0.0,6.15,3.5700000000000003,1.54,inf
azul,0063,2,152.94,255.56,210.0,100.0,100.0,100.0,47.06,66.67,70.0,5.88,0.0,0.0,11.76,22.220000000000002,10.0,11.76,0.0,0.0,0.0,20.0,0.0,0.0,0.0
azul,0064,2,133.32999999999998,180.0,150.0,100.0,100.0,100.0,50.0,40.0,50.0,0.0,40.0,33.33,0.0,20.0,16.669999999999998,16.669999999999998,0.0,0.0,0.0,0.0,0.0,0.0,16.669999999999998
azul,0065,2,127.78,163.32999999999998,138.24,100.0,100.0,100.0,30.56,36.67,52.94,16.669999999999998,10.0,17.65,22.220000000000002,33.33,20.59,5.56,0.0,5.88,0.0,0.0,6.67,2.94,0.0
azul,0066,2,129.26999999999998,138.16,124.10000000000001,100.0,100.0,100.0,32.93,55.26,57.830000000000005,21.95,14.469999999999999,21.69,15.85,7.89,6.02,14.63,10.530000000000001,9.64,0.0,1.2,3.95,0.0,7.32
azul,0067,2,139.69,137.7,127.82,100.0,100.0,100.0,28.33,38.550000000000004,47.13,34.03,25.83,27.38,15.21,22.17,15.39,10.24,4.72,4.83,2.13,2.73,1.49,2.1,1.7999999999999998
