Eleccion,,,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017
,,,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct
Denominacion,,,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,ALIANZA FRENTE PARA LA VICTORIA,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),CAMBIEMOS,ELECTORES,VOTANTES,VOTOS BLANCOS,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,ALIANZA FRENTE PARA LA VICTORIA,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),CAMBIEMOS,ELECTORES,VOTANTES,VOTOS BLANCOS,1PAIS,CAMBIEMOS,ELECTORES,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,FRENTE JUSTICIALISTA,UNIDAD CIUDADANA,VOTANTES,VOTOS BLANCOS,1PAIS,CAMBIEMOS,ELECTORES,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,FRENTE JUSTICIALISTA,UNIDAD CIUDADANA,VOTANTES,VOTOS BLANCOS,1PAIS,CAMBIEMOS,ELECTORES,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,FRENTE JUSTICIALISTA,UNIDAD CIUDADANA,VOTANTES,VOTOS BLANCOS,1PAIS,CAMBIEMOS,ELECTORES,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,FRENTE JUSTICIALISTA,UNIDAD CIUDADANA,VOTANTES,VOTOS BLANCOS
dpto_merger_str,circuito,PROV_REF_ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
almirante brown,0018,2,1236.0,7946.0,4250.0,7098.0,29026.0,22508.0,1414.0,0.042582512230414114,0.2737545648728726,0.14642045063046924,0.2445393784882519,1.0,0.7754427065389651,0.04871494522152553,2500.0,9203.0,31342.0,1571.0,1441.0,9289.0,24672.0,521.0,0.07976517133558803,0.2936315487205666,1.0,0.050124433667283516,0.04597664475783294,0.29637547061451086,0.7871865228766511,0.016623061706336546,3333.0,7443.0,30637.0,1062.0,1443.0,8137.0,23098.0,797.0,0.1087900251330091,0.24294154127362338,1.0,0.03466396840421712,0.04709991187126677,0.26559388974116266,0.7539249926559389,0.02601429643894637
almirante brown,0018A,2,1612.0,20050.0,7830.0,7025.0,48810.0,36873.0,3368.0,0.0330260192583487,0.41077648022946117,0.1604179471419791,0.14392542511780373,1.0,0.755439459127228,0.06900225363654988,3982.0,9918.0,52010.0,2023.0,2411.0,22215.0,41241.0,1243.0,0.07656219957700443,0.1906940972889829,1.0,0.03889636608344549,0.04635646990963276,0.4271293981926553,0.7929436646798692,0.02389925014420304,5696.0,7189.0,50607.0,1428.0,2450.0,19164.0,38433.0,1759.0,0.11255359930444404,0.14205544687493826,1.0,0.028217440275060762,0.048412274981721896,0.3786827909182524,0.7594403936214358,0.034758037425652574
almirante brown,0019,2,3477.0,26412.0,13075.0,15423.0,84327.0,62828.0,4826.0,0.041232345512113557,0.31320929239745277,0.15505116985070025,0.18289515813440535,1.0,0.7450519999525657,0.0572295943173598,7201.0,21358.0,96646.0,4533.0,4232.0,30495.0,70248.0,1974.0,0.07450903296566852,0.22099207416758065,1.0,0.04690313101421683,0.04378867206092337,0.31553297601556196,0.7268588456842497,0.02042505639136643,9880.0,15768.0,93277.0,3018.0,4270.0,26087.0,62566.0,2757.0,0.10592107379096669,0.1690448878072837,1.0,0.03235524298594509,0.04577763006957771,0.27967237368268705,0.6707548484621075,0.029557125550778864
almirante brown,0020,2,1551.0,9202.0,5354.0,8824.0,35298.0,27388.0,1556.0,0.043940166581676016,0.260694656921072,0.1516799818686611,0.24998583489149526,1.0,0.7759079834551532,0.044081817666723325,2738.0,10357.0,33819.0,1680.0,1364.0,8865.0,26356.0,583.0,0.08096040687187675,0.3062479671190751,1.0,0.04967621751086667,0.04033235755048937,0.2621307549010911,0.7793252313788107,0.017238830243354326,3697.0,8245.0,33466.0,1093.0,1373.0,7727.0,24512.0,907.0,0.11047032809418514,0.24636944959062929,1.0,0.032660013147672265,0.04102671367955537,0.23089105360664555,0.7324448694197095,0.02710213350863563
almirante brown,0020A,2,921.0,10548.0,4499.0,4242.0,27308.0,21734.0,1724.0,0.033726380547824814,0.38626043650212394,0.16475025633513987,0.15533909477076316,1.0,0.7958839900395489,0.06313168302328988,2423.0,5336.0,26498.0,1159.0,1245.0,10403.0,20796.0,589.0,0.09144086346139331,0.20137368858027022,1.0,0.043739150124537704,0.04698467808891237,0.39259566759755454,0.7848139482225074,0.022228092686240472,3546.0,4108.0,27544.0,823.0,1373.0,9481.0,20187.0,960.0,0.12873947139122857,0.1491431890792913,1.0,0.029879465582340982,0.04984751670055185,0.3442128957304676,0.732900087133314,0.03485332558814987
almirante brown,0021,2,2397.0,16267.0,8862.0,9998.0,53069.0,42373.0,3469.0,0.04516761197686031,0.3065254668450508,0.1669901449056888,0.18839623885884416,1.0,0.7984510731312066,0.06536772880589421,5003.0,13748.0,54779.0,2859.0,2290.0,18628.0,44235.0,1339.0,0.09133061939794447,0.25097208784388175,1.0,0.05219153325179357,0.0418043410796108,0.34005732123624016,0.8075174793260191,0.024443673670567188,6874.0,11021.0,54779.0,2100.0,2357.0,16636.0,42884.0,2026.0,0.12548604392194088,0.20119023713466838,1.0,0.0383358586319575,0.043027437521678015,0.3036930210482119,0.7828547436061264,0.03698497599445043
almirante brown,0021A,2,433.0,4283.0,1913.0,1728.0,12135.0,8824.0,917.0,0.03568191182529872,0.3529460238978162,0.157643180881747,0.14239802224969098,1.0,0.727152863617635,0.07556654305727235,1131.0,2379.0,13222.0,559.0,650.0,5270.0,10214.0,318.0,0.08553925276055059,0.17992739373770988,1.0,0.04227802147935259,0.049160490092270456,0.3985781273634851,0.7725003781576161,0.024050824383603085,1465.0,1593.0,12168.0,340.0,624.0,4344.0,8929.0,511.0,0.12039776462853385,0.1309171597633136,1.0,0.027942143326758713,0.05128205128205128,0.35700197238658776,0.733809993425378,0.04199539776462853
almirante brown,0022,2,1339.0,10290.0,5439.0,6172.0,34930.0,26288.0,2069.0,0.038333810478099056,0.29458917835671344,0.1557114228456914,0.17669624964214142,1.0,0.75259089607787,0.05923275121671915,3035.0,8197.0,40771.0,1790.0,1534.0,11799.0,27904.0,961.0,0.07444016580412548,0.2010497657648819,1.0,0.043903755120060825,0.037624782320767214,0.28939687522994284,0.6844080351230041,0.0235706752348483,3925.0,5669.0,37495.0,1104.0,1438.0,9710.0,24535.0,1232.0,0.10468062408321109,0.15119349246566208,1.0,0.029443925856780902,0.038351780237364984,0.25896786238165087,0.6543539138551807,0.032857714361914925
almirante brown,0022A,2,2103.0,16958.0,8649.0,9301.0,52690.0,40083.0,3215.0,0.039912696906433856,0.3218447523249193,0.16414879483773012,0.1765230594040615,1.0,0.7607325868286202,0.06101727082937939,4030.0,12018.0,53036.0,2356.0,2661.0,18066.0,39953.0,1162.0,0.07598612263368278,0.22660079945697262,1.0,0.04442265630892224,0.05017346707896523,0.3406365487593333,0.753318500641074,0.02190964627799985,5432.0,8087.0,49344.0,1451.0,2427.0,14536.0,34032.0,1743.0,0.11008430609597925,0.16389023994811933,1.0,0.029405804150453956,0.04918531128404669,0.29458495460440987,0.6896887159533074,0.035323443579766536
almirante brown,0022B,2,499.0,5479.0,2238.0,2202.0,16180.0,11325.0,862.0,0.030840543881334982,0.33862793572311495,0.13831891223733003,0.13609394313967862,1.0,0.6999381953028431,0.053275648949320145,1159.0,3258.0,15643.0,642.0,752.0,6109.0,12329.0,316.0,0.07409064757399476,0.20827207057469796,1.0,0.04104072108930512,0.048072620341366744,0.3905261139167679,0.7881480534424343,0.02020072876046794,1625.0,2197.0,14593.0,425.0,752.0,4747.0,9779.0,523.0,0.11135475913109025,0.15055163434523403,1.0,0.029123552388131295,0.05153155622558761,0.3252929486740218,0.6701158089494963,0.035839100938806275
