Eleccion,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017
comuna 04,,,,176724.0,,129232.0,,51936.0,,40348.0,,21846.0,8005.0,4124.0,,,,1.0,,0.7312645707430796,,0.2938819854688667,,0.22831081234014622,,0.12361648672506281,0.04529662071931373,0.02333582309137412,,,,176856.0,,100903.0,54279.0,,,33627.0,,,5654.0,1732.0,,,,1.0,,0.570537612520921,0.3069107070158773,,,0.19013773917763604,,,0.03196951191930158,0.009793278147193196,,,,,178221.0,115933.0,57326.0,,,,37984.0,,8526.0,1184.0,,,,,1.0,0.650501343837146,0.3216568193422773,,,,0.21312864365029935,,0.04783948019593651,0.006643437080927612
comuna 05,,,,157450.0,,123040.0,,48770.0,,29532.0,,17727.0,8097.0,2609.0,,,,1.0,,0.7814544299777707,,0.3097491267068911,,0.18756430612892983,,0.11258812321371864,0.05142584947602413,0.016570339790409654,,,,159303.0,,104300.0,53452.0,,,28038.0,,,5696.0,1290.0,,,,1.0,,0.654727155169708,0.3355366816695229,,,0.17600421837630176,,,0.03575576103400438,0.008097775936423043,,,,,159327.0,117209.0,55473.0,,,,29212.0,,8725.0,915.0,,,,,1.0,0.73565058025319,0.3481707431885368,,,,0.18334619995355464,,0.05476159094189936,0.005742906098777985
comuna 06,,,,161249.0,,128388.0,,57358.0,,25533.0,,17006.0,7452.0,2320.0,,,,1.0,,0.7962095888966754,,0.3557107330898176,,0.15834516803204982,,0.10546421993314688,0.046214240088310626,0.014387686125185272,,,,161704.0,,106001.0,62162.0,,,24729.0,,,4910.0,1339.0,,,,1.0,,0.6555249097115717,0.3844184435759165,,,0.15292757136496316,,,0.030364122099638846,0.008280562014545094,,,,,161368.0,120771.0,63580.0,,,,24977.0,,7672.0,931.0,,,,,1.0,0.7484197610430816,0.39400624659164146,,,,0.15478285657627286,,0.04754350304893164,0.0057694214466313025
comuna 07,,,,171726.0,,130480.0,,53883.0,,31901.0,,22077.0,7624.0,3076.0,,,,1.0,,0.7598150542142715,,0.313773103665141,,0.18576686116254965,,0.12855944935536845,0.04439630574286946,0.017912255569919523,,,,174093.0,,108419.0,59512.0,,,29028.0,,,5230.0,1575.0,,,,1.0,,0.6227648440775907,0.3418402807694738,,,0.16673846737088796,,,0.03004141464619485,0.009046888731884683,,,,,174465.0,124042.0,62149.0,,,,31338.0,,8020.0,1160.0,,,,,1.0,0.7109850113203221,0.35622617717020605,,,,0.17962342017023472,,0.045969105551256696,0.006648898059782764
comuna 08,,,,137805.0,,103992.0,,36344.0,,35825.0,,21175.0,5145.0,3592.0,,,,1.0,,0.7546315445738544,,0.2637349878451435,,0.2599687964877907,,0.1536591560538442,0.03733536518994231,0.026065817640869345,,,,136358.0,,74355.0,39453.0,,,28749.0,,,4002.0,1461.0,,,,1.0,,0.5452925387582687,0.2893339591369777,,,0.21083471450153274,,,0.029349213100808166,0.010714442863638363,,,,,139147.0,90185.0,42313.0,,,,33223.0,,6109.0,1011.0,,,,,1.0,0.6481275198171718,0.304088481965116,,,,0.23876188491307754,,0.04390321027402675,0.00726569742789999
comuna 09,,,,145763.0,,110073.0,,44210.0,,29775.0,,23216.0,6229.0,3240.0,,,,1.0,,0.7551504840048572,,0.30330056324307264,,0.20426994504778304,,0.15927224329905396,0.042733752735605056,0.022227863037945158,,,,146337.0,,83787.0,49679.0,,,26993.0,,,4070.0,1383.0,,,,1.0,,0.5725619631398757,0.33948352091405454,,,0.18445779262934187,,,0.027812514948372592,0.009450788249041596,,,,,147029.0,101863.0,52139.0,,,,29179.0,,6311.0,982.0,,,,,1.0,0.6928089016452537,0.354617116351196,,,,0.19845744717028613,,0.042923504886791045,0.006678954491970972
comuna 10,,,,149400.0,,112424.0,,48427.0,,26596.0,,20858.0,7099.0,2729.0,,,,1.0,,0.7525033467202142,,0.32414323962516733,,0.17801874163319947,,0.13961178045515396,0.04751673360107095,0.01826639892904953,,,,147828.0,,91676.0,52713.0,,,24530.0,,,4380.0,1372.0,,,,1.0,,0.6201531509592229,0.356583326568715,,,0.16593608788592148,,,0.02962902833022161,0.009281056362800012,,,,,149563.0,108876.0,54978.0,,,,26286.0,,6727.0,963.0,,,,,1.0,0.727960792441981,0.3675909148653076,,,,0.1757520242305918,,0.044977701704298524,0.0064387582490321804
comuna 11,,,,172852.0,,132378.0,,61448.0,,28436.0,,21023.0,7430.0,2910.0,,,,1.0,,0.7658459259944924,,0.35549487422766296,,0.16451067965658484,,0.12162427973063661,0.042984749959502924,0.016835211626131025,,,,172312.0,,109070.0,65663.0,,,26434.0,,,4752.0,1414.0,,,,1.0,,0.6329797112215052,0.38107038395468684,,,0.15340777194855842,,,0.02757788198152189,0.008206044848878777,,,,,173370.0,122578.0,68102.0,,,,27771.0,,7396.0,1039.0,,,,,1.0,0.7070312049374171,0.3928130587760281,,,,0.16018342273749783,,0.04266020649477995,0.00599296302705197
comuna 12,,,,186939.0,,148347.0,,69919.0,,30548.0,,20360.0,8375.0,3114.0,,,,1.0,,0.7935583265129267,,0.37402040237724604,,0.16341159415638257,,0.10891253296529885,0.044800710392160006,0.01665784025805209,,,,186785.0,,116958.0,72240.0,,,28375.0,,,5414.0,1597.0,,,,1.0,,0.6261637711807694,0.38675482506625264,,,0.15191262681692855,,,0.028985196884118103,0.008549937093449688,,,,,188519.0,133482.0,76312.0,,,,29849.0,,8358.0,1112.0,,,,,1.0,0.7080559519199656,0.4047973944270869,,,,0.15833417321331006,,0.04433505376115935,0.005898609689209045
comuna 13,,,,217133.0,,165160.0,,96096.0,,24641.0,,16200.0,7368.0,2586.0,,,,1.0,,0.7606397922010933,,0.44256745865437314,,0.11348344102462546,,0.07460864999792753,0.033933119332390745,0.01190975116633584,,,,218130.0,,128676.0,98649.0,,,23323.0,,,4931.0,1659.0,,,,1.0,,0.5899051024618347,0.45224865905652595,,,0.106922477421721,,,0.02260578554073259,0.007605556319625911,,,,,218843.0,153534.0,102109.0,,,,23677.0,,8082.0,1357.0,,,,,1.0,0.7015714461965884,0.466585634450268,,,,0.10819171734988096,,0.03693058493988841,0.00620079234885283
comuna 14,,,,209538.0,,156702.0,,91067.0,,24978.0,,14617.0,6860.0,2581.0,,,,1.0,,0.7478452595710563,,0.4346085196957115,,0.119205108381296,,0.06975823001078563,0.03273869178860159,0.012317574855157536,,,,211583.0,,125305.0,93045.0,,,23150.0,,,4463.0,1512.0,,,,1.0,,0.5922262185525302,0.43975650217645085,,,0.1094133271576639,,,0.02109337706715568,0.007146131778072907,,,,,210920.0,141510.0,95921.0,,,,23459.0,,7342.0,1133.0,,,,,1.0,0.6709178835577471,0.45477432201782664,,,,0.11122226436563626,,0.034809406410013274,0.005371704911814906
comuna 15,,,,165594.0,,121128.0,,50569.0,,30819.0,,17887.0,8255.0,2795.0,,,,1.0,,0.7314757781079024,,0.30537942195973283,,0.1861118156454944,,0.10801719869077382,0.04985084000628042,0.016878630868268175,,,,166346.0,,100064.0,54177.0,,,29427.0,,,5847.0,1413.0,,,,1.0,,0.6015413655873901,0.3256886249143352,,,0.17690236014091112,,,0.03514962788404891,0.008494343116155482,,,,,166707.0,114177.0,56248.0,,,,30427.0,,9100.0,1011.0,,,,,1.0,0.6848962551062643,0.33740634766386535,,,,0.18251783068497424,,0.05458678999682077,0.006064532383163275
coronel de marina l. rosales,47359.0,35274.0,6592.0,,17364.0,,6433.0,,3643.0,,1092.0,,,,1.0,0.7448214700479318,0.13919212821216664,,0.3666462551996453,,0.1358347938089909,,0.07692307692307693,,0.02305791929728246,,,,48824.0,33929.0,4754.0,,17908.0,,,5733.0,1393.0,,817.0,2865.0,,,1.0,0.6949246272325086,0.09737014582991971,,0.3667868261510732,,,0.11742175979026709,0.028531050303129607,,0.016733573652302148,0.05868015729968868,,,49880.0,36541.0,5335.0,22644.0,,,,4255.0,1219.0,1684.0,,2230.0,,,1.0,0.7325781876503609,0.10695669607056936,0.4539695268644747,,,,0.0853047313552526,0.024438652766639937,0.03376102646351243,,0.044707297514033684,,
coronel dorrego,13617.0,10962.0,2900.0,,4976.0,,985.0,,1847.0,,175.0,,,,1.0,0.8050231328486451,0.21296908276419182,,0.36542557097745465,,0.07233605052507895,,0.1356392744363663,,0.012851582580597782,,,,13765.0,9960.0,2430.0,,4657.0,,,1451.0,553.0,,150.0,835.0,,,1.0,0.7235742826007991,0.17653468942971304,,0.3383218307301126,,,0.1054122775154377,0.04017435524881947,,0.010897203051216855,0.06066109698510715,,,13765.0,10522.0,2565.0,5545.0,,,,1114.0,237.0,555.0,,676.0,,,1.0,0.7644024700326916,0.1863421721758082,0.4028332727933164,,,,0.08092989466037051,0.017217580820922628,0.04031965128950236,,0.04911006175081729,,
coronel pringles,19687.0,14922.0,4230.0,,6200.0,,1706.0,,2670.0,,333.0,,,,1.0,0.7579621069741453,0.21486259968507138,,0.31492863310814245,,0.08665616904556306,,0.1356224919997968,,0.01691471529435668,,,,20282.0,14609.0,3899.0,,6885.0,,,1362.0,447.0,,469.0,1439.0,,,1.0,0.7202938566216349,0.19223942411990927,,0.33946356375110937,,,0.06715314071590572,0.022039246622621043,,0.023123952272951387,0.07094961049206193,,,19583.0,14948.0,3675.0,7748.0,,,,1187.0,496.0,429.0,,1264.0,,,1.0,0.763315120257366,0.18766276872797835,0.39564928764744933,,,,0.06061379768166267,0.025328090690905376,0.021906755859674207,,0.06454577950262984,,
coronel suarez,31306.0,25188.0,6613.0,,10632.0,,3680.0,,3298.0,,582.0,,,,1.0,0.8045742030281735,0.21123746246725866,,0.3396154091867374,,0.1175493515620009,,0.10534721778572798,,0.018590685491599056,,,,33760.0,24729.0,4178.0,,9327.0,,,4110.0,697.0,,733.0,5247.0,,,1.0,0.7324940758293839,0.12375592417061611,,0.27627369668246443,,,0.12174170616113744,0.0206457345971564,,0.02171208530805687,0.15542061611374408,,,33010.0,25455.0,5481.0,11201.0,,,,4135.0,993.0,685.0,,3390.0,,,1.0,0.7711299606179945,0.16604059375946684,0.3393214177521963,,,,0.1252650711905483,0.030081793395940623,0.020751287488639806,,0.10269615268100575,,
daireaux,14225.0,11735.0,4295.0,,5298.0,,1001.0,,1460.0,,105.0,,,,1.0,0.8249560632688928,0.30193321616871704,,0.3724428822495606,,0.07036906854130053,,0.10263620386643234,,0.007381370826010545,,,,14485.0,11034.0,3216.0,,4850.0,,,1278.0,332.0,,90.0,905.0,,,1.0,0.7617535381429065,0.22202278218847082,,0.33482913358646876,,,0.08822920262340352,0.022920262340352087,,0.006213324128408699,0.06247842595788747,,,14471.0,11809.0,3697.0,5854.0,,,,820.0,146.0,303.0,,880.0,,,1.0,0.8160458848731946,0.2554764701817428,0.4045332043397139,,,,0.05666505424642388,0.010089143804851082,0.02093842858130053,,0.06081127772786953,,
dolores,22670.0,17786.0,4437.0,,7741.0,,3401.0,,2390.0,,250.0,,,,1.0,0.7845610939567711,0.1957212174680194,,0.34146449051610056,,0.15002205558006176,,0.10542567269519189,,0.011027790030877812,,,,23367.0,17649.0,3741.0,,8171.0,,,2447.0,996.0,,261.0,906.0,,,1.0,0.755295930157915,0.16009757350109127,,0.3496811743056447,,,0.10472033209226687,0.04262421363461292,,0.011169598151238927,0.03877262806522018,,,24046.0,18349.0,4324.0,10409.0,,,,1752.0,451.0,857.0,,822.0,,,1.0,0.7630790983947434,0.17982200781834817,0.43287864925559344,,,,0.0728603509939283,0.018755718206770355,0.035640023288696664,,0.034184479747151296,,
ensenada,50440.0,40118.0,15063.0,,9787.0,,7350.0,,4143.0,,2565.0,,,,1.0,0.795360824742268,0.29863203806502775,,0.1940325138778747,,0.1457176843774782,,0.08213719270420301,,0.05085249801744647,,,,48018.0,35556.0,14813.0,,9776.0,,,4797.0,1264.0,,1877.0,1875.0,,,1.0,0.7404723228789204,0.3084884834853597,,0.20359032029655547,,,0.09990003748594277,0.02632346203507018,,0.039089508101128746,0.0390478570536049,,,53049.0,41664.0,18448.0,14015.0,,,,3647.0,2451.0,1532.0,,1520.0,,,1.0,0.785387094949952,0.3477539633169334,0.26418971139889535,,,,0.06874776150351562,0.046202567437651984,0.028878960960621314,,0.028652755000094253,,
escobar,162933.0,128089.0,44158.0,,37769.0,,26231.0,,11424.0,,5692.0,,,,1.0,0.7861452253380223,0.27101937606255333,,0.23180693904856597,,0.16099255522208517,,0.07011470972731122,,0.034934605021696034,,,,168720.0,121323.0,40171.0,,37945.0,,,20641.0,5353.0,,4447.0,6555.0,,,1.0,0.719078947368421,0.238092697961119,,0.22489924134660977,,,0.12233878615457563,0.03172712185870081,,0.02635727833096254,0.03885135135135135,,,178618.0,134034.0,50585.0,49839.0,,,,15331.0,6318.0,5333.0,,7324.0,,,1.0,0.750394697063006,0.28320214088165807,0.27902563011566583,,,,0.08583121521907086,0.03537157509321569,0.029857013290933723,,0.04100370623341432,,
esteban echeverria,221245.0,170049.0,65474.0,,46865.0,,31894.0,,12685.0,,7560.0,,,,1.0,0.7686004203484824,0.2959343713982237,,0.21182399602250898,,0.14415693010011527,,0.05733462903116455,,0.034170263734773665,,,,231178.0,161893.0,61677.0,,47251.0,,,23825.0,8503.0,,6478.0,8780.0,,,1.0,0.7002958759051466,0.2667944181539766,,0.20439228646324478,,,0.10305911462163354,0.03678118160032529,,0.028021697566377422,0.0379793925027468,,,235260.0,174406.0,70833.0,60321.0,,,,16724.0,9980.0,7938.0,,5989.0,,,1.0,0.7413329932840261,0.30108390716653916,0.25640142820709005,,,,0.07108730765961065,0.0424211510669047,0.03374139250191278,,0.02545694125648219,,
exaltacion de la cruz,23561.0,17597.0,5778.0,,6357.0,,3731.0,,1621.0,,459.0,,,,1.0,0.7468698272569076,0.24523577097746277,,0.26981027969950344,,0.15835490853529138,,0.06880013581766478,,0.019481346292602182,,,,27246.0,20714.0,5069.0,,7546.0,,,2967.0,617.0,,395.0,2386.0,,,1.0,0.7602583865521545,0.18604565807825002,,0.2769580855905454,,,0.10889671878440872,0.02264552594876312,,0.014497540923438303,0.08757248770461719,,,28055.0,22140.0,5758.0,9770.0,,,,2079.0,733.0,751.0,,2328.0,,,1.0,0.7891641418641954,0.2052397077169845,0.34824451969345926,,,,0.07410443771163785,0.026127250044555336,0.02676884690785956,,0.08297986098734629,,
ezeiza,117465.0,90120.0,37411.0,,22180.0,,18304.0,,8915.0,,4038.0,,,,1.0,0.7672072532243647,0.3184863576384455,,0.18882220235814923,,0.15582513940322648,,0.0758949474311497,,0.03437619716511301,,,,122651.0,86032.0,33801.0,,22601.0,,,13948.0,4680.0,,3461.0,5121.0,,,1.0,0.7014374118433604,0.27558682766548986,,0.18427081719676155,,,0.11372104589444848,0.03815704723157577,,0.028218277877881143,0.04175261514378195,,,130568.0,99230.0,40441.0,31464.0,,,,10686.0,5547.0,5155.0,,4071.0,,,1.0,0.7599871331413516,0.309731327737271,0.2409778812572759,,,,0.08184241161693524,0.0424836100729122,0.039481343054959865,,0.031179155688989647,,
florencio varela,284202.0,216559.0,100649.0,,40390.0,,46099.0,,21333.0,,8814.0,,,,1.0,0.7619897115431982,0.35414599475021286,,0.14211722647975736,,0.16220505133672528,,0.07506280743977875,,0.031013152616800727,,,,298047.0,213411.0,99083.0,,49006.0,,,26116.0,11695.0,,7014.0,12394.0,,,1.0,0.7160313641808171,0.33244085664341533,,0.16442373182753056,,,0.08762376403721561,0.039238777776659385,,0.02353320113941761,0.04158404546933873,,,319626.0,238285.0,111858.0,66123.0,,,,21459.0,11752.0,13706.0,,11719.0,,,1.0,0.7455119420823086,0.34996527191154664,0.20687616151376922,,,,0.06713784235325036,0.036767972567938775,0.042881367598380606,,0.03666472689956386,,
florentino ameghino,7572.0,6692.0,2896.0,,2911.0,,457.0,,222.0,,93.0,,,,1.0,0.8837823560486001,0.3824617010036978,,0.38444268357105127,,0.06035393555203381,,0.029318541996830427,,0.012282091917591125,,,,7986.0,6206.0,402.0,,2669.0,,,988.0,1761.0,,107.0,194.0,,,1.0,0.7771099423991986,0.05033809166040571,,0.3342098672677185,,,0.12371650388179314,0.22051089406461308,,0.013398447282744804,0.02429251189581768,,,7980.0,6736.0,688.0,3357.0,,,,789.0,135.0,1549.0,,156.0,,,1.0,0.844110275689223,0.0862155388471178,0.4206766917293233,,,,0.09887218045112782,0.016917293233082706,0.19411027568922307,,0.019548872180451128,,
general alvarado,32862.0,24654.0,6959.0,,7960.0,,6597.0,,2238.0,,716.0,,,,1.0,0.7502282271316414,0.2117643478790092,,0.24222506238208266,,0.20074858499178383,,0.0681029760817966,,0.021788083500699898,,,,31216.0,22511.0,5639.0,,8470.0,,,4897.0,655.0,,508.0,1659.0,,,1.0,0.7211365966171194,0.18064454126089186,,0.27133521271143,,,0.1568746796514608,0.02098282931829831,,0.01627370579190159,0.05314582265504869,,,35066.0,26453.0,6388.0,11950.0,,,,5161.0,863.0,856.0,,1605.0,,,1.0,0.7543774596475218,0.182170763702732,0.34078594650088406,,,,0.14717960417498432,0.02461073404437347,0.024411110477385502,,0.04577083214509781,,
general alvear,7895.0,6753.0,1908.0,,2853.0,,476.0,,1109.0,,62.0,,,,1.0,0.8553514882837239,0.24167194426852437,,0.36136795440152,,0.06029132362254592,,0.14046865104496517,,0.007853071564281191,,,,8476.0,6417.0,1047.0,,2911.0,,,713.0,867.0,,48.0,632.0,,,1.0,0.7570788107597923,0.12352524775837659,,0.34344030202925907,,,0.08411986786219915,0.10228881547899953,,0.005663048607833884,0.07456347333647947,,,8462.0,6714.0,1346.0,3583.0,,,,634.0,108.0,510.0,,486.0,,,1.0,0.7934294493027653,0.1590640510517608,0.42342235878043016,,,,0.07492318600803592,0.01276294020326164,0.06026943984873552,,0.057433230914677384,,
general arenales,14241.0,11889.0,4112.0,,5775.0,,1018.0,,917.0,,139.0,,,,1.0,0.8348430587739625,0.2887437679938207,,0.4055192753317885,,0.07148374411909277,,0.06439154553753247,,0.00976055052313742,,,,14222.0,10862.0,3122.0,,5608.0,,,1046.0,194.0,,106.0,509.0,,,1.0,0.7637463085360708,0.21951905498523414,,0.3943186612290817,,,0.07354802418787794,0.013640838138095909,,0.007453241456897764,0.03578962171283926,,,14573.0,11178.0,3115.0,6693.0,,,,908.0,191.0,356.0,,416.0,,,1.0,0.7670349276058465,0.21375145817607905,0.4592739998627599,,,,0.062307006107184516,0.013106429698757978,0.024428738077266178,,0.028545941123996433,,
general belgrano,15449.0,12812.0,4479.0,,5269.0,,1529.0,,1317.0,,231.0,,,,1.0,0.8293093404103825,0.289921677778497,,0.34105767363583406,,0.09897080717198524,,0.08524823613178846,,0.014952424105120073,,,,15223.0,10851.0,2020.0,,5356.0,,,1102.0,1664.0,,197.0,1006.0,,,1.0,0.7128029954673849,0.13269394994416345,,0.3518360375747225,,,0.07239046180122184,0.10930828351836037,,0.012940944623267425,0.06608421467516258,,,15906.0,12435.0,2204.0,6654.0,,,,1061.0,271.0,1351.0,,776.0,,,1.0,0.7817804602036967,0.1385640638752672,0.4183327046397586,,,,0.06670438828115177,0.01703759587577015,0.08493650194895008,,0.048786621400729285,,
general guido,2457.0,1815.0,499.0,,958.0,,275.0,,312.0,,31.0,,,,1.0,0.7387057387057387,0.20309320309320308,,0.3899063899063899,,0.11192511192511193,,0.12698412698412698,,0.012617012617012617,,,,2461.0,1919.0,287.0,,1116.0,,,102.0,135.0,,23.0,201.0,,,1.0,0.7797643234457537,0.11661926046322633,,0.4534741974806989,,,0.04144656643640796,0.054855749695245835,,0.009345794392523364,0.08167411621292157,,,2452.0,2013.0,373.0,1132.0,,,,105.0,47.0,186.0,,139.0,,,1.0,0.8209624796084829,0.15212071778140293,0.46166394779771613,,,,0.042822185970636216,0.019168026101141926,0.07585644371941272,,0.0566884176182708,,
general juan madariaga,16354.0,12733.0,4122.0,,4882.0,,2302.0,,1323.0,,387.0,,,,1.0,0.7785862785862786,0.25204842851901677,,0.29852023969671027,,0.14076067017243488,,0.08089763972116913,,0.02366393542864131,,,,17352.0,12262.0,2662.0,,5159.0,,,1559.0,1177.0,,331.0,682.0,,,1.0,0.7066620562471185,0.15341171046565238,,0.2973144306131858,,,0.08984555094513601,0.06783079760258183,,0.019075610880590135,0.03930382664822499,,,17700.0,12311.0,3225.0,6999.0,,,,1120.0,459.0,879.0,,560.0,,,1.0,0.6955367231638419,0.18220338983050846,0.3954237288135593,,,,0.06327683615819209,0.02593220338983051,0.049661016949152544,,0.031638418079096044,,
general la madrid,9049.0,7742.0,2769.0,,3191.0,,547.0,,989.0,,91.0,,,,1.0,0.8555641507348878,0.3060006630566913,,0.3526356503481048,,0.060448668361144875,,0.10929384462371533,,0.010056359818764505,,,,9482.0,7020.0,2133.0,,3243.0,,,861.0,146.0,,91.0,537.0,,,1.0,0.7403501371018772,0.2249525416578781,,0.34201645222526894,,,0.09080362792659777,0.015397595443999157,,0.009597131406876187,0.056633621598818816,,,9483.0,7782.0,2185.0,4030.0,,,,605.0,177.0,178.0,,438.0,,,1.0,0.8206263840556786,0.23041231677739113,0.424971000738163,,,,0.06379837604133713,0.01866497943688706,0.01877043129811241,,0.046187915216703575,,
general las heras,11780.0,9296.0,3345.0,,2585.0,,2451.0,,781.0,,179.0,,,,1.0,0.7891341256366723,0.28395585738539897,,0.2194397283531409,,0.20806451612903226,,0.06629881154499151,,0.015195246179966045,,,,12219.0,9672.0,2904.0,,2846.0,,,2476.0,404.0,,186.0,490.0,,,1.0,0.7915541369997545,0.2376626565185367,,0.2329159505687863,,,0.202635240199689,0.03306326213274409,,0.015222194942302971,0.040101481299615355,,,12914.0,10688.0,3249.0,4031.0,,,,2359.0,301.0,376.0,,440.0,,,1.0,0.8276289298435806,0.25158742450054206,0.3121418615456094,,,,0.18266997057457024,0.02330803778844665,0.029115688400185843,,0.034071550255536626,,
general lavalle,3422.0,2888.0,470.0,,1146.0,,896.0,,249.0,,30.0,,,,1.0,0.8439509059029807,0.13734658094681473,,0.33489187609585036,,0.2618351841028638,,0.0727644652250146,,0.008766803039158387,,,,4098.0,2862.0,600.0,,1287.0,,,661.0,52.0,,27.0,103.0,,,1.0,0.698389458272328,0.14641288433382138,,0.3140556368960469,,,0.1612981942410932,0.01268911664226452,,0.006588579795021962,0.025134211810639337,,,4098.0,3232.0,641.0,1618.0,,,,643.0,50.0,70.0,,135.0,,,1.0,0.7886774036115178,0.15641776476329916,0.3948267447535383,,,,0.15690580771107857,0.012201073694485115,0.01708150317227916,,0.03294289897510981,,
general paz,9625.0,8501.0,3162.0,,3238.0,,1048.0,,595.0,,156.0,,,,1.0,0.8832207792207792,0.32851948051948054,,0.3364155844155844,,0.10888311688311689,,0.06181818181818182,,0.01620779220779221,,,,10227.0,8278.0,2761.0,,3044.0,,,1238.0,175.0,,112.0,456.0,,,1.0,0.8094260291385548,0.26997164368827614,,0.2976434927153613,,,0.12105211694534077,0.017111567419575632,,0.010951403148528405,0.04458785567615137,,,10515.0,8908.0,3058.0,4039.0,,,,1079.0,181.0,177.0,,326.0,,,1.0,0.84717070851165,0.2908226343319068,0.38411792677127915,,,,0.10261531145981931,0.01721350451735616,0.016833095577746076,,0.03100332857822159,,
general pinto,9187.0,7003.0,2793.0,,2475.0,,1202.0,,918.0,,210.0,,,,1.0,0.7622727767497551,0.30401654511810167,,0.26940241645803853,,0.13083705235659082,,0.09992380537716339,,0.02285838685098509,,,,9354.0,7196.0,1026.0,,2465.0,,,2698.0,245.0,,241.0,486.0,,,1.0,0.7692965576224076,0.10968569595894805,,0.2635236262561471,,,0.2884327560401967,0.026192003420996365,,0.025764378875347445,0.05195638229634381,,,9698.0,8007.0,1019.0,3080.0,,,,2970.0,219.0,212.0,,427.0,,,1.0,0.8256341513714168,0.10507321097133429,0.3175912559290575,,,,0.30624871107444834,0.022581975665085584,0.02186017735615591,,0.044029696844710246,,
general pueyrredon,540300.0,389220.0,115689.0,,151658.0,,64472.0,,32033.0,,14994.0,,,,1.0,0.7203775680177679,0.21411993337034982,,0.2806922080325745,,0.1193263002035906,,0.0592874329076439,,0.027751249305941143,,,,543725.0,356403.0,88723.0,,155647.0,,,46778.0,17467.0,,12627.0,22053.0,,,1.0,0.6554839302956458,0.16317623798795347,,0.28626051772495287,,,0.08603246126258679,0.03212469538829371,,0.023223136695940044,0.040559106165800725,,,562957.0,397503.0,110614.0,194439.0,,,,38655.0,22210.0,17261.0,,13602.0,,,1.0,0.7060983343310413,0.19648747595287028,0.34538872418319694,,,,0.06866421414068925,0.0394523915680949,0.03066131160994534,,0.024161703291725657,,
general rodriguez,65875.0,52997.0,18022.0,,15499.0,,11023.0,,5691.0,,1456.0,,,,1.0,0.8045085388994307,0.2735787476280835,,0.23527893738140418,,0.16733206831119546,,0.0863908918406072,,0.02210246679316888,,,,73074.0,53225.0,17185.0,,15301.0,,,8841.0,2735.0,,1299.0,3892.0,,,1.0,0.7283712401127624,0.23517256479732873,,0.2093904808823932,,,0.12098694474094754,0.037427812901989765,,0.01777650053370556,0.05326107781153351,,,75289.0,57042.0,21088.0,20489.0,,,,6300.0,2251.0,2628.0,,2609.0,,,1.0,0.7576405583817025,0.28009403764162094,0.2721380281315996,,,,0.08367756245932341,0.029898125888243966,0.03490549748303205,,0.03465313658037695,,
general san martin,330387.0,249394.0,80300.0,,78633.0,,54630.0,,16329.0,,12217.0,,,,1.0,0.7548541558838574,0.24304830395869087,,0.23800270591760572,,0.16535154228223264,,0.049423857476232416,,0.03697784719132411,,,,335636.0,235281.0,70612.0,,79365.0,,,40152.0,17725.0,,9765.0,8668.0,,,1.0,0.7010004886245814,0.21038267647093875,,0.23646152379363358,,,0.11962959873195962,0.05281018722663838,,0.0290940185200634,0.025825596777461296,,,349945.0,255181.0,86221.0,102246.0,,,,29776.0,14890.0,16577.0,,5870.0,,,1.0,0.7292031604966495,0.24638443183928904,0.292177342153767,,,,0.08508765663175642,0.04254954349969281,0.04737030104730743,,0.01677406449584935,,
general viamonte,14230.0,11829.0,3773.0,,4458.0,,1813.0,,1346.0,,156.0,,,,1.0,0.8312719606465214,0.2651440618411806,,0.31328179901616304,,0.12740688685874912,,0.09458889669711876,,0.010962754743499649,,,,14980.0,11586.0,3795.0,,4789.0,,,1349.0,432.0,,130.0,591.0,,,1.0,0.7734312416555407,0.25333778371161547,,0.3196929238985314,,,0.09005340453938585,0.02883845126835781,,0.008678237650200267,0.03945260347129506,,,15680.0,12548.0,4076.0,6311.0,,,,1018.0,237.0,376.0,,423.0,,,1.0,0.8002551020408163,0.2599489795918367,0.4024872448979592,,,,0.0649234693877551,0.015114795918367348,0.023979591836734693,,0.02697704081632653,,
