Eleccion,,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017
,,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct
Denominacion,,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,ALIANZA FRENTE PARA LA VICTORIA,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),CAMBIEMOS,ELECTORES,VOTANTES,VOTOS BLANCOS,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,ALIANZA FRENTE PARA LA VICTORIA,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),CAMBIEMOS,ELECTORES,VOTANTES,VOTOS BLANCOS,1PAIS,CAMBIEMOS,ELECTORES,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,FRENTE JUSTICIALISTA,UNIDAD CIUDADANA,VOTANTES,VOTOS BLANCOS,1PAIS,CAMBIEMOS,ELECTORES,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,FRENTE JUSTICIALISTA,UNIDAD CIUDADANA,VOTANTES,VOTOS BLANCOS,1PAIS,CAMBIEMOS,ELECTORES,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,FRENTE JUSTICIALISTA,UNIDAD CIUDADANA,VOTANTES,VOTOS BLANCOS,1PAIS,CAMBIEMOS,ELECTORES,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,FRENTE JUSTICIALISTA,UNIDAD CIUDADANA,VOTANTES,VOTOS BLANCOS
dpto_merger_str,PROV_REF_ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
campana,2,2281.0,17758.0,9843.0,21884.0,71839.0,56455.0,5765.0,0.03175155556174223,0.24719163685463327,0.13701471345647906,0.30462562118069575,1.0,0.7858544801570178,0.08024888987875667,6307.0,27570.0,78797.0,3126.0,2489.0,18155.0,62030.0,4343.0,0.08004111831668718,0.3498864169955709,1.0,0.03967156110004188,0.03158749698592586,0.23040217267154842,0.7872127111438253,0.055116311534703095,8220.0,22071.0,78116.0,2320.0,2665.0,16613.0,59182.0,4602.0,0.10522812227968661,0.28254134876337755,1.0,0.029699421373342208,0.03411593015515387,0.21267089968764402,0.7576168774642839,0.05891238670694864
canuelas,2,1221.0,12333.0,6315.0,9655.0,40093.0,32015.0,2154.0,0.030454193998952436,0.30760980719826403,0.15750879205846408,0.24081510488115132,1.0,0.7985184446162672,0.05372508916768513,3088.0,14192.0,43591.0,1494.0,1471.0,12940.0,33749.0,994.0,0.0708403110733867,0.32557179234245603,1.0,0.03427312977449474,0.03374549792388337,0.2968502672570026,0.7742194489688239,0.022802872152508546,3784.0,10171.0,39074.0,1131.0,1266.0,10415.0,27810.0,1178.0,0.09684188974765828,0.26030096739519887,1.0,0.028945078568869326,0.03240006142191739,0.2665455289962635,0.7117264677279009,0.030147924451041613
capitan sarmiento,2,153.0,2596.0,1579.0,3287.0,11654.0,9141.0,1478.0,0.013128539557233568,0.22275613523253818,0.13548996052857387,0.2820490818603055,1.0,0.7843658829586408,0.126823408271838,1314.0,5206.0,12534.0,187.0,331.0,2106.0,10069.0,879.0,0.10483484921014839,0.41535024732726983,1.0,0.01491941917983086,0.02640816977820329,0.16802297750119674,0.8033349289931386,0.07012924844423168,1413.0,3828.0,12195.0,122.0,336.0,1939.0,8887.0,570.0,0.11586715867158671,0.31389913899138994,1.0,0.01000410004100041,0.02755227552275523,0.15899958999589997,0.7287412874128741,0.046740467404674045
carlos casares,2,353.0,4801.0,1722.0,5900.0,18383.0,14493.0,1853.0,0.019202524071152697,0.2611652069847141,0.09367350269270522,0.32094870260566827,1.0,0.7883914486210085,0.1007996518522548,1149.0,7536.0,18602.0,370.0,2274.0,2395.0,14239.0,973.0,0.06176755187614235,0.40511772927642187,1.0,0.019890334372648102,0.12224491990108591,0.1287495968175465,0.7654553273841522,0.05230620363401785,1633.0,6275.0,18971.0,277.0,2156.0,2065.0,13388.0,1234.0,0.08607875177903115,0.3307680143376733,1.0,0.014601233461599283,0.11364714564335038,0.10885035053502715,0.7057087132992462,0.0650466501502293
carlos tejedor,2,131.0,3223.0,591.0,3793.0,9841.0,8478.0,893.0,0.013311655319581343,0.327507367137486,0.06005487247230972,0.38542831013108425,1.0,0.8614978152626765,0.09074281068997053,761.0,3579.0,9837.0,167.0,1503.0,1459.0,7759.0,534.0,0.07736098403984955,0.3638304361085697,1.0,0.01697672054488157,0.15279048490393413,0.14831757649689947,0.7887567347768628,0.05428484293992071,1210.0,2511.0,9487.0,84.0,1112.0,1343.0,7318.0,680.0,0.1275429535153368,0.2646779803942237,1.0,0.008854221566353957,0.11721302835459049,0.14156213766206388,0.7713713502687889,0.07167703172762728
carmen de areco,2,127.0,3786.0,1137.0,3623.0,12471.0,9651.0,1628.0,0.01018362601234865,0.3035843156122203,0.09117151792157806,0.290513992462513,1.0,0.773875390906904,0.1305428594338866,803.0,4898.0,12336.0,151.0,403.0,2426.0,9980.0,1135.0,0.0650940337224384,0.3970492866407263,1.0,0.01224059662775616,0.0326686121919585,0.19666018158236057,0.8090142671854734,0.09200713359273671,1162.0,3995.0,11994.0,64.0,397.0,2087.0,9316.0,1225.0,0.09688177422044356,0.33308320827080207,1.0,0.005336001334000333,0.03309988327497082,0.1740036685009171,0.7767216941804236,0.10213440053360014
castelli,2,59.0,2308.0,527.0,2191.0,7007.0,5916.0,692.0,0.008420151277294135,0.3293849008134722,0.07521050378193235,0.3126873126873127,1.0,0.8442985585842728,0.09875838447267019,270.0,2693.0,7548.0,101.0,1634.0,723.0,5909.0,650.0,0.03577106518282989,0.3567832538420774,1.0,0.01338102808691044,0.21648118706942238,0.09578696343402225,0.7828563857975622,0.08611552729199788,458.0,2300.0,7559.0,58.0,1792.0,667.0,5312.0,373.0,0.06059002513559995,0.30427305199100413,1.0,0.007672972615425321,0.23706839529038232,0.08823918507739119,0.7027384574679191,0.04934515147506284
chacabuco,2,698.0,12307.0,4036.0,12757.0,39557.0,32820.0,2252.0,0.01764542306039386,0.3111206613241651,0.10202998205121723,0.3224966504032156,1.0,0.8296888034987486,0.056930505346714864,2551.0,16245.0,41645.0,1022.0,1835.0,9939.0,33280.0,1258.0,0.061255853043582664,0.39008284307840074,1.0,0.02454076119582183,0.044062912714611595,0.2386601032536919,0.7991355504862528,0.030207708008164247,3800.0,13783.0,41328.0,580.0,3215.0,7607.0,31521.0,1429.0,0.09194734804490902,0.33350271002710025,1.0,0.014034068912117692,0.07779229578010066,0.18406407278358497,0.7627032520325203,0.03457704219899342
chascomus,2,726.0,7828.0,5365.0,11159.0,35764.0,29566.0,3913.0,0.02029974275808075,0.21887931998657867,0.15001118443127168,0.31201767140140924,1.0,0.8266972374454759,0.10941169891511017,3390.0,14937.0,37466.0,946.0,813.0,7141.0,28976.0,2357.0,0.09048203704692254,0.3986814712005552,1.0,0.02524955960070464,0.021699674371430097,0.19059947685901885,0.7733945443869108,0.06291037207067741,3571.0,12370.0,35837.0,565.0,1135.0,6065.0,26612.0,2651.0,0.09964561765772804,0.34517398219717055,1.0,0.015765828612886123,0.03167117783296593,0.1692384965259369,0.7425844797276557,0.07397382593409046
chivilcoy,2,1202.0,17275.0,11948.0,11263.0,55421.0,46170.0,3543.0,0.02168852961873658,0.31170494938741633,0.2155861496544631,0.20322621389004167,1.0,0.8330777142238501,0.06392883563991988,5006.0,15523.0,57697.0,994.0,14195.0,8173.0,46145.0,2432.0,0.08676360989306203,0.2690434511326412,1.0,0.017227932128186907,0.24602665649860478,0.14165381215661127,0.7997816177617554,0.04215123836594624,5076.0,12476.0,57217.0,775.0,14750.0,7359.0,43742.0,2351.0,0.08871489242707586,0.21804708390862856,1.0,0.013544925459216666,0.25779051680444626,0.1286156212314522,0.7644930702413618,0.041089186780152755
