Codigo Partido;Denominacion;Lista Interna;Agrupación
3121;FRENTE PARA LA VICTORIA SANTACRUCEÑA                                                                ;SIEMPRE SANTA CRUZ                                                                                  ;0702
3122;UNION PARA VIVIR MEJOR                                                                              ;SOCIALISMO SANTACRUCEÑO                                                                             ;0701
3123;FRENTE PARA LA VICTORIA SANTACRUCEÑA                                                                ;SOL PARA TODOS                                                                                      ;0702
3124;UNION PARA VIVIR MEJOR                                                                              ;SOMOS LA DIFERENCIA                                                                                 ;0701
3125;FRENTE PARA LA VICTORIA SANTACRUCEÑA                                                                ;SOÑANDO JUNTOS POR CALETA                                                                           ;0702
3126;FRENTE PARA LA VICTORIA SANTACRUCEÑA                                                                ;SUEÑOS SANTACRUCEÑOS                                                                                ;0702
3127;UNION PARA VIVIR MEJOR                                                                              ;SUMAR PARA CRECER                                                                                   ;0701
3128;UNION PARA VIVIR MEJOR                                                                              ;TODOS JUNTOS                                                                                        ;0701
3129;FRENTE PARA LA VICTORIA SANTACRUCEÑA                                                                ;TODOS PARA LOS ANTIGUOS                                                                             ;0702
3130;UNION PARA VIVIR MEJOR                                                                              ;TODOS POR EL CAMBIO                                                                                 ;0701
3131;FRENTE PARA LA VICTORIA SANTACRUCEÑA                                                                ;TODOS POR LAS HERAS                                                                                 ;0702
3132;FRENTE PARA LA VICTORIA SANTACRUCEÑA                                                                ;TRANSFORMACION SANTACRUCEÑA                                                                         ;0702
3133;FRENTE PARA LA VICTORIA SANTACRUCEÑA                                                                ;TRUNCADO AVANZA                                                                                     ;0702
3134;FRENTE PARA LA VICTORIA SANTACRUCEÑA                                                                ;TRUNCADO GANA                                                                                       ;0702
3135;FRENTE PARA LA VICTORIA SANTACRUCEÑA                                                                ;TRUNCADO PRIMERO                                                                                    ;0702
3136;FRENTE PARA LA VICTORIA SANTACRUCEÑA                                                                ;UNIDOS POR CALETA                                                                                   ;0702
3137;UNION PARA VIVIR MEJOR                                                                              ;UNION PARA CAMBIAR LAS HERAS                                                                        ;0701
3138;UNION PARA VIVIR MEJOR                                                                              ;UNION PARA EL CAMBIO                                                                                ;0701
3139;UNION PARA VIVIR MEJOR                                                                              ;VALORES PARA MI CIUDAD                                                                              ;0701
3140;UNION PARA VIVIR MEJOR                                                                              ;VAMOS A VIVIR MEJOR                                                                                 ;0701
3141;UNION PARA VIVIR MEJOR                                                                              ;VAMOS A VIVIR MEJOR                                                                                 ;0701
3142;FRENTE PARA LA VICTORIA SANTACRUCEÑA                                                                ;VAMOS DESEADO                                                                                       ;0702
9001;ELECTORES                                                                                           ;                                                                                                    ;9001
9002;VOTANTES                                                                                            ;                                                                                                    ;9002
9003;VOTOS IMPUGNADOS                                                                                    ;                                                                                                    ;9003
9004;VOTOS BLANCOS                                                                                       ;                                                                                                    ;9004
9005;VOTOS NULOS                                                                                         ;                                                                                                    ;9005
9006;VOTOS RECURRIDOS                                                                                    ;                                                                                                    ;9006
