Código Partido;Denominacion;Lista Interna;Agrupación
0552;FRENTE PATRIOTA BANDERA VECINAL                                                                     ;                                                                                                    ;0552
0553;FRENTE POPULAR PARA LA LIBERACION                                                                   ;                                                                                                    ;0553
0554;FRENTE PROGRESISTA CIVICO Y SOCIAL                                                                  ;                                                                                                    ;0554
0555;FRENTE PROGRESISTA PAMPEANO                                                                         ;                                                                                                    ;0555
0556;FRENTE PROGRESISTA POPULAR                                                                          ;                                                                                                    ;0556
0557;FRENTE RENOVADOR - 1PAIS                                                                            ;                                                                                                    ;0557
0558;FRENTE RENOVADOR 1PAIS                                                                              ;                                                                                                    ;0558
0559;FRENTE RENOVADOR DE LA CONCORDIA                                                                    ;                                                                                                    ;0559
0560;FRENTE SOCIAL Y POPULAR                                                                             ;                                                                                                    ;0560
0561;FRENTE SOCIALISTA Y POPULAR                                                                         ;                                                                                                    ;0561
0562;FRENTE SOMOS MENDOZA                                                                                ;                                                                                                    ;0562
0563;FRENTE TIERRA DE UNION                                                                              ;                                                                                                    ;0563
0564;FRENTE TODOS                                                                                        ;                                                                                                    ;0564
0565;FRENTE UNIDAD JUSTICIALISTA SAN LUIS                                                                ;                                                                                                    ;0565
0566;FRENTE UNIDAD Y RENOVACION                                                                          ;                                                                                                    ;0566
0567;IZQUIERDA AL FRENTE POR EL SOCIALISMO                                                               ;                                                                                                    ;0567
0568;JUNTOS PODEMOS MAS                                                                                  ;                                                                                                    ;0568
0569;JUNTOS SOMOS RIO NEGRO                                                                              ;                                                                                                    ;0569
0570;SOMOS                                                                                               ;                                                                                                    ;0570
0571;SOMOS CORRIENTES                                                                                    ;                                                                                                    ;0571
0572;UN NUEVO PAIS (1P)                                                                                  ;                                                                                                    ;0572
0573;UNA RIOJA                                                                                           ;                                                                                                    ;0573
0574;UNIDAD CIUDADANA                                                                                    ;                                                                                                    ;0574
0575;UNIDAD CIUDADANA PARA LA VICTORIA                                                                   ;                                                                                                    ;0575
0576;UNIDAD PORTEÑA                                                                                      ;                                                                                                    ;0576
0577;UNION PARA VIVIR MEJOR - CAMBIEMOS                                                                  ;                                                                                                    ;0577
0578;UNION POR CORDOBA                                                                                   ;                                                                                                    ;0578
0579;UNIR TDF                                                                                            ;                                                                                                    ;0579
0580;VAMOS JUNTOS                                                                                        ;                                                                                                    ;0580
